stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
A1,1,Washington St opp Ruggles St,,42.330957,-71.082754,ExpressBus-Downtown,https://www.mbta.com/stops/1,0,,1
A9,10,Theo Glynn Way @ Newmarket Sq,,42.330555,-71.068787,LocalBus,https://www.mbta.com/stops/10,0,,1
A5337,10000,Tremont St opp Temple Pl,,42.355692,-71.062911,LocalBus,https://www.mbta.com/stops/10000,0,,1
A5338,10003,Albany St opp Randall St,,42.331591,-71.076237,LocalBus,https://www.mbta.com/stops/10003,0,,1
A5339,10005,Albany St opp E Concord St,,42.335017,-71.071280,LocalBus,https://www.mbta.com/stops/10005,0,,1
A5340,10006,Albany St opp E Newton St,,42.335814,-71.070135,LocalBus,https://www.mbta.com/stops/10006,0,,1
A5341,10007,540 Albany St opp Wareham St,,42.338372,-71.066556,LocalBus,https://www.mbta.com/stops/10007,0,,1
A5342,10008,Albany St opp Randolph St,,42.339915,-71.064356,LocalBus,https://www.mbta.com/stops/10008,0,,1
A5343,10009,High St @ Duck Lane,,42.214986,-70.915924,LocalBus,https://www.mbta.com/stops/10009,0,,1
A5344,10010,Southampton St @ Newmarket St,,42.330944,-71.064621,LocalBus,https://www.mbta.com/stops/10010,0,,1
A5345,10011,Albany St @ Randolph St,,42.340162,-71.064227,LocalBus,https://www.mbta.com/stops/10011,0,,1
A5346,10012,Albany St @ Wareham St,,42.338361,-71.066667,LocalBus,https://www.mbta.com/stops/10012,0,,1
A5347,10013,Albany St @ E Dedham St,,42.337556,-71.067875,LocalBus,https://www.mbta.com/stops/10013,0,,1
A5348,10014,Albany St opp Boston Medical,,42.334117,-71.072510,LocalBus,https://www.mbta.com/stops/10014,0,,1
A5349,10015,Harrison Ave @ E Newton St,,42.337402,-71.072162,LocalBus,https://www.mbta.com/stops/10015,0,,1
A5350,10016,TradeCenter 128,,42.499312,-71.162566,LocalBus,https://www.mbta.com/stops/10016,0,,1
A5351,10031,E 1st St @ P St,,42.338307,-71.027132,LocalBus,https://www.mbta.com/stops/10031,0,,1
A5352,10032,E 1st St opp O St,,42.338274,-71.029203,LocalBus,https://www.mbta.com/stops/10032,0,,1
A5353,10033,E 1st St @ O St,,42.338176,-71.029444,LocalBus,https://www.mbta.com/stops/10033,0,,1
A75,101,Massachusetts Ave @ Sidney St,,42.362988,-71.099486,LocalBus,https://www.mbta.com/stops/101,0,,1
