from_stop_id,to_stop_id,transfer_type,min_transfer_time
A7644,A7644,1,0
A7644,A7644,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7666,A7891,1,0
A7812,A7812,1,0
A7812,A7812,1,0
A7812,A7812,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7892,A7666,1,0
A7897,A7898,1,0
A7897,A7898,1,0
A7897,A7898,1,0
A7897,A7898,1,0
A5376,A540,2,225
A5376,A7897,2,454
A5376,A7898,2,454
A5406,A132,2,178
A5406,A5855,2,196
A5406,A7903,2,338
A5406,A7904,2,371
A5406,A7905,2,370
A5406,A7906,2,371
A5406,A9227,2,443
A5406,A9228,2,443
A89,A7808,2,388
A749,A769,2,230
A749,A819,2,223
A749,A843,2,207
A769,A749,2,230
A769,A819,2,180
A769,A843,2,164
A819,A749,2,223
A819,A769,2,180
A819,A843,2,157
A843,A749,2,207
A843,A769,2,164
A843,A819,2,157
A114,A115,2,143
A115,A114,2,143
A5667,A3676,2,179
A5667,A3677,2,179
A132,A5406,2,178
A132,A5855,2,236
A132,A7903,2,359
A132,A7904,2,406
A132,A7905,2,392
A132,A7906,2,406
A132,A9227,2,486
A132,A9228,2,486
A5775,A5776,2,160
A5775,A5777,2,172
A5775,A7899,2,325
A5775,A7900,2,353
A5775,A7901,2,457
A5775,A7902,2,353
A5776,A5775,2,160
A5776,A5777,2,132
A5776,A7899,2,330
A5776,A7900,2,332
A5776,A7901,2,431
A5776,A7902,2,332
A5777,A5775,2,172
A5777,A5776,2,132
A5777,A7899,2,342
A5777,A7900,2,344
A5777,A7901,2,442
A5777,A7902,2,344
A137,A5794,2,146
A5794,A137,2,146
A138,A139,2,172
A139,A138,2,172
A5855,A5406,2,196
A5855,A132,2,236
A5855,A7903,2,363
A5855,A7904,2,343
A5855,A7905,2,383
A5855,A7906,2,343
A5855,A9227,2,481
A5855,A9228,2,481
A5935,A5936,2,136
A5935,A5937,2,145
A5935,A5938,2,155
A5935,A5939,2,164
A5935,A5940,2,174
A5935,A5941,2,237
A5935,A5942,2,231
A5935,A5943,2,241
A5935,A5944,2,250
A5935,A5945,2,248
A5935,A5946,2,256
A5935,A5947,2,266
A5935,A5948,2,275
A5936,A5935,2,136
A5936,A5937,2,130
A5936,A5938,2,139
A5936,A5939,2,148
A5936,A5940,2,158
A5936,A5941,2,216
A5936,A5942,2,210
A5936,A5943,2,220
A5936,A5944,2,229
A5936,A5945,2,227
A5936,A5946,2,235
A5936,A5947,2,245
A5936,A5948,2,254
A5937,A5935,2,145
A5937,A5936,2,130
A5937,A5938,2,130
A5937,A5939,2,139
A5937,A5940,2,149
A5937,A5941,2,206
A5937,A5942,2,201
A5937,A5943,2,211
A5937,A5944,2,220
A5937,A5945,2,218
A5937,A5946,2,225
A5937,A5947,2,236
A5937,A5948,2,245
A5938,A5935,2,155
A5938,A5936,2,139
A5938,A5937,2,130
A5938,A5939,2,129
A5938,A5940,2,139
A5938,A5941,2,196
A5938,A5942,2,191
A5938,A5943,2,201
A5938,A5944,2,210
A5938,A5945,2,208
A5938,A5946,2,215
A5938,A5947,2,226
A5938,A5948,2,235
A5939,A5935,2,164
A5939,A5936,2,148
A5939,A5937,2,139
A5939,A5938,2,129
A5939,A5940,2,130
A5939,A5941,2,188
A5939,A5942,2,182
A5939,A5943,2,192
A5939,A5944,2,201
A5939,A5945,2,199
A5939,A5946,2,207
A5939,A5947,2,217
A5939,A5948,2,226
A5940,A5935,2,174
A5940,A5936,2,158
A5940,A5937,2,149
A5940,A5938,2,139
A5940,A5939,2,130
A5940,A5941,2,178
A5940,A5942,2,172
