service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
FallSaturday,0,0,0,0,0,1,0,20240928,20241214
FallSunday,0,0,0,0,0,0,1,20240929,20241208
IndigenousPeoplesDay,0,0,0,0,0,0,0,20241014,20241014
LRV42024-hlb44011-Weekday-01,1,1,1,1,1,0,0,20240924,20241213
LRV42024-hlb44016-Saturday-01,0,0,0,0,0,1,0,20240928,20241214
LRV42024-hlb44017-Sunday-01,0,0,0,0,0,0,1,20240929,20241208
LRV42024-hlb44nk6-Saturday-01,0,0,0,0,0,1,0,20241005,20241005
LRV42024-hlb44nk7-Sunday-01,0,0,0,0,0,0,1,20241006,20241006
LRV42024-hlm44011-Wdy-01-AstMtnSsd,0,0,0,0,1,0,0,20241004,20241004
LRV42024-hlm44011-Weekday-01,1,1,1,1,1,0,0,20240924,20241213
LRV42024-hlm44016-Saturday-01,0,0,0,0,0,1,0,20240928,20241214
LRV42024-hlm44017-Sunday-01,0,0,0,0,0,0,1,20240929,20241208
RTL42024-hmb44011-Weekday-01,1,1,1,1,1,0,0,20240924,20241213
RTL42024-hmo44011-Weekday-01,1,1,1,1,1,0,0,20240924,20241213
RTL42024-hmo44016-Saturday-01,0,0,0,0,0,1,0,20240928,20241214
RTL42024-hmo44017-Sunday-01,0,0,0,0,0,0,1,20240929,20241208
RTL42024-hmo44bf1-Weekday-01,0,1,1,1,1,0,0,20241008,20241018
RTL42024-hmo44bf6-Saturday-01,0,0,0,0,0,1,0,20241019,20241019
RTL42024-hmo44bf7-Sunday-01,0,0,0,0,0,0,1,20241020,20241020
RTL42024-hmo44fn6-Saturday-01,1,0,0,0,0,1,0,20241012,20241014
RTL42024-hmo44fn7-Sunday-01,0,0,0,0,0,0,1,20241013,20241013
RTL42024-hms44016-Sa-01-AstJFKBrrJFK,0,0,0,0,0,1,0,20240928,20240928
RTL42024-hms44016-Saturday-01,0,0,0,0,0,1,0,20241005,20241214
RTL42024-hms44017-Sunday-01,0,0,0,0,0,0,1,20241006,20241208
RTL42024-hms44bj1-Weekday-01,0,1,1,1,1,0,0,20240924,20240927
RTL42024-hms44bj7-Sunday-01,0,0,0,0,0,0,1,20240929,20240929
RTL42024-hms44sp1-Weekday-01,1,1,1,1,1,0,0,20240930,20241213
ThanksgivingDay,0,0,0,0,0,0,0,20241128,20241128
canonical,0,0,0,0,0,0,0,20240924,20241214
