shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40460001,42.365743,-71.060455,10001,
40460001,42.365832,-71.060531,10002,
40460001,42.371298,-71.065725,10003,
40460001,42.371310,-71.065748,10004,
40460001,42.372677,-71.067739,10005,
40460001,42.373453,-71.069084,10006,
40460001,42.373642,-71.069578,10007,
40460001,42.373657,-71.069613,10008,
40460001,42.373657,-71.069613,20001,
40460001,42.374109,-71.070642,20002,
40460001,42.374366,-71.071204,20003,
40460001,42.374488,-71.071477,20004,
40460001,42.375065,-71.072442,20005,
40460001,42.375461,-71.073003,20006,
40460001,42.375918,-71.073634,20007,
40460001,42.376445,-71.074194,20008,
40460001,42.376996,-71.074680,20009,
40460001,42.378895,-71.076313,20010,
40460001,42.379358,-71.076605,20011,
40460001,42.379536,-71.076679,20012,
40460001,42.379593,-71.076710,20013,
40460001,42.379743,-71.076783,20014,
40460001,42.379995,-71.076868,20015,
40460001,42.380169,-71.076908,20016,
40460001,42.380307,-71.076932,20017,
40460001,42.380549,-71.076935,20018,
40460001,42.381775,-71.076955,20019,
40460001,42.382587,-71.077017,20020,
40460001,42.382872,-71.077006,20021,
40460001,42.383007,-71.077001,20022,
40460001,42.383106,-71.076998,20023,
40460001,42.383675,-71.076967,20024,
40460001,42.383675,-71.076967,30001,
40460001,42.384131,-71.076943,30002,
40460001,42.384489,-71.076918,30003,
40460001,42.385151,-71.076919,30004,
40460001,42.385274,-71.076927,30005,
40460001,42.385596,-71.076927,30006,
40460001,42.385786,-71.076923,30007,
40460001,42.386191,-71.076929,30008,
40460001,42.386303,-71.076923,30009,
40460001,42.386457,-71.076925,30010,
40460001,42.386970,-71.076938,30011,
40460001,42.387402,-71.076947,30012,
40460001,42.387963,-71.076995,30013,
40460001,42.388473,-71.077017,30014,
40460001,42.389523,-71.077050,30015,
40460001,42.389980,-71.077044,30016,
40460001,42.390653,-71.077048,30017,
40460001,42.391317,-71.077086,30018,
40460001,42.392354,-71.077191,30019,
40460001,42.392660,-71.077216,30020,
40460001,42.392660,-71.077216,40001,
40460001,42.393336,-71.077273,40002,
40460001,42.394309,-71.077294,40003,
40460001,42.396978,-71.077280,40004,
40460001,42.397769,-71.077266,40005,
40460001,42.398491,-71.077262,40006,
40460001,42.398849,-71.077236,40007,
40460001,42.399364,-71.077232,40008,
40460001,42.400069,-71.077209,40009,
40460001,42.400432,-71.077209,40010,
40460001,42.400793,-71.077191,40011,
40460001,42.401673,-71.077153,40012,
40460001,42.401673,-71.077153,50001,
40460001,42.401722,-71.077151,50002,
40460001,42.402447,-71.077121,50003,
40460001,42.402646,-71.077100,50004,
40460001,42.402716,-71.077092,50005,
40460001,42.403722,-71.077045,50006,
40460001,42.404159,-71.077001,50007,
40460001,42.404288,-71.076998,50008,
40460001,42.404411,-71.076996,50009,
40460001,42.404896,-71.077003,50010,
40460001,42.404992,-71.077003,50011,
40460001,42.405784,-71.076990,50012,
40460001,42.406351,-71.076988,50013,
40460001,42.409317,-71.076932,50014,
40460001,42.410595,-71.076891,50015,
40460001,42.411038,-71.076913,50016,
40460001,42.411561,-71.076908,50017,
40460001,42.413161,-71.076867,50018,
40460001,42.414700,-71.076825,50019,
40460001,42.415910,-71.076804,50020,
40460001,42.416433,-71.076805,50021,
40460001,42.417129,-71.076831,50022,
40460001,42.417641,-71.076835,50023,
40460001,42.417822,-71.076835,50024,
40460001,42.418976,-71.076807,50025,
40460001,42.419499,-71.076744,50026,
40460001,42.420264,-71.076624,50027,
40460001,42.420656,-71.076547,50028,
40460001,42.421633,-71.076285,50029,
40460001,42.421711,-71.076258,50030,
40460001,42.422051,-71.076139,50031,
40460001,42.422460,-71.075987,50032,
40460001,42.423310,-71.075647,50033,
40460001,42.424474,-71.075168,50034,
40460001,42.425946,-71.074571,50035,
40460001,42.425997,-71.074550,50036,
40460001,42.426572,-71.074314,50037,
40460001,42.426713,-71.074257,50038,
40460001,42.426713,-71.074257,60001,
40460001,42.427275,-71.074027,60002,
40460001,42.427410,-71.073974,60003,
40460001,42.427858,-71.073801,60004,
40460001,42.428226,-71.073647,60005,
40460001,42.428529,-71.073511,60006,
40460001,42.429877,-71.072970,60007,
40460001,42.431566,-71.072312,60008,
40460001,42.431941,-71.072164,60009,
40460001,42.432017,-71.072134,60010,
40460001,42.432094,-71.072104,60011,
40460001,42.433000,-71.071732,60012,
40460001,42.433538,-71.071536,60013,
40460001,42.433925,-71.071425,60014,
40460001,42.434283,-71.071349,60015,
40460001,42.435239,-71.071164,60016,
40460001,42.435330,-71.071151,60017,
40460001,42.435418,-71.071138,60018,
40460001,42.435525,-71.071118,60019,
40460001,42.435658,-71.071095,60020,
40460001,42.436397,-71.070961,60021,
40460001,42.436967,-71.070867,60022,
40460002,42.436967,-71.070867,10001,
40460002,42.436397,-71.070961,10002,
40460002,42.435658,-71.071095,10003,
40460002,42.435525,-71.071118,10004,
40460002,42.435418,-71.071138,10005,
40460002,42.435330,-71.071151,10006,
40460002,42.435239,-71.071164,10007,
40460002,42.434283,-71.071349,10008,
40460002,42.433925,-71.071425,10009,
40460002,42.433538,-71.071536,10010,
40460002,42.433000,-71.071732,10011,
40460002,42.432094,-71.072104,10012,
40460002,42.432017,-71.072134,10013,
40460002,42.431941,-71.072164,10014,
40460002,42.431566,-71.072312,10015,
40460002,42.429877,-71.072970,10016,
40460002,42.428529,-71.073511,10017,
40460002,42.428226,-71.073647,10018,
40460002,42.427858,-71.073801,10019,
40460002,42.427410,-71.073974,10020,
40460002,42.427275,-71.074027,10021,
40460002,42.426713,-71.074257,10022,
40460002,42.426713,-71.074257,20001,
40460002,42.426572,-71.074314,20002,
40460002,42.425997,-71.074550,20003,
40460002,42.425946,-71.074571,20004,
40460002,42.424474,-71.075168,20005,
40460002,42.423310,-71.075647,20006,
40460002,42.422460,-71.075987,20007,
40460002,42.422051,-71.076139,20008,
40460002,42.421711,-71.076258,20009,
40460002,42.421633,-71.076285,20010,
40460002,42.420656,-71.076547,20011,
40460002,42.420264,-71.076624,20012,
40460002,42.419499,-71.076744,20013,
40460002,42.418976,-71.076807,20014,
40460002,42.417822,-71.076835,20015,
40460002,42.417641,-71.076835,20016,
40460002,42.417129,-71.076831,20017,
40460002,42.416433,-71.076805,20018,
40460002,42.415910,-71.076804,20019,
40460002,42.414700,-71.076825,20020,
40460002,42.413161,-71.076867,20021,
40460002,42.411561,-71.076908,20022,
40460002,42.411038,-71.076913,20023,
40460002,42.410595,-71.076891,20024,
40460002,42.409317,-71.076932,20025,
40460002,42.406351,-71.076988,20026,
40460002,42.405784,-71.076990,20027,
40460002,42.404992,-71.077003,20028,
40460002,42.404896,-71.077003,20029,
40460002,42.404411,-71.076996,20030,
40460002,42.404288,-71.076998,20031,
40460002,42.404159,-71.077001,20032,
40460002,42.403722,-71.077045,20033,
40460002,42.402716,-71.077092,20034,
40460002,42.402646,-71.077100,20035,
40460002,42.402447,-71.077121,20036,
40460002,42.401722,-71.077151,20037,
40460002,42.401672,-71.077153,20038,
40460002,42.401672,-71.077153,30001,
40460002,42.400793,-71.077191,30002,
40460002,42.400432,-71.077209,30003,
40460002,42.400069,-71.077209,30004,
40460002,42.399364,-71.077232,30005,
40460002,42.398849,-71.077236,30006,
40460002,42.398491,-71.077262,30007,
40460002,42.397769,-71.077266,30008,
40460002,42.396978,-71.077280,30009,
40460002,42.394309,-71.077294,30010,
40460002,42.393336,-71.077273,30011,
40460002,42.392659,-71.077216,30012,
40460002,42.392659,-71.077216,40001,
40460002,42.392354,-71.077191,40002,
40460002,42.391317,-71.077086,40003,
40460002,42.390653,-71.077048,40004,
40460002,42.389980,-71.077044,40005,
40460002,42.389523,-71.077050,40006,
40460002,42.388473,-71.077017,40007,
40460002,42.387963,-71.076995,40008,
40460002,42.387402,-71.076947,40009,
40460002,42.386970,-71.076938,40010,
40460002,42.386457,-71.076925,40011,
40460002,42.386303,-71.076923,40012,
40460002,42.386191,-71.076929,40013,
40460002,42.385786,-71.076923,40014,
40460002,42.385596,-71.076927,40015,
40460002,42.385274,-71.076927,40016,
40460002,42.385151,-71.076919,40017,
40460002,42.384489,-71.076918,40018,
40460002,42.384131,-71.076943,40019,
40460002,42.383673,-71.076967,40020,
40460002,42.383673,-71.076967,50001,
