stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
A8992,,Wareham Village,,41.758333,-70.714722,CF-zone-buzzards,https://www.mbta.com/stops/place-CM-0493,1,,1
A8993,,Buzzards Bay,,41.744805,-70.616226,CF-zone-buzzards,https://www.mbta.com/stops/place-CM-0547,1,,1
A8994,,Bourne,,41.746497,-70.588772,CF-zone-buzzards,https://www.mbta.com/stops/place-CM-0564,1,,1
A8995,,Hyannis,,41.660225,-70.276583,CF-zone-hyannis,https://www.mbta.com/stops/place-CM-0790,1,,1
A9002,,Readville,,42.238405,-71.133246,CR-zone-2,https://www.mbta.com/stops/place-DB-0095,1,,1
A9003,,Fairmount,,42.253638,-71.119270,CR-zone-1A,https://www.mbta.com/stops/place-DB-2205,1,,1
A9004,,Blue Hill Avenue,,42.271466,-71.095782,CR-zone-1A,https://www.mbta.com/stops/place-DB-2222,1,,1
A9005,,Morton Street,,42.280994,-71.085475,CR-zone-1A,https://www.mbta.com/stops/place-DB-2230,1,,1
A9006,,Talbot Avenue,,42.292246,-71.078140,CR-zone-1A,https://www.mbta.com/stops/place-DB-2240,1,,1
A9007,,Four Corners/Geneva,,42.305037,-71.076833,CR-zone-1A,https://www.mbta.com/stops/place-DB-2249,1,,1
A9008,,Uphams Corner,,42.319125,-71.068627,CR-zone-1A,https://www.mbta.com/stops/place-DB-2258,1,,1
A9009,,Newmarket,,42.327415,-71.065674,CR-zone-1A,https://www.mbta.com/stops/place-DB-2265,1,,1
A9014,,River Works,GE Employees Only,42.449927,-70.969848,CR-zone-2,https://www.mbta.com/stops/place-ER-0099,1,,2
A9015,,Lynn,,42.462953,-70.945421,CR-zone-2,https://www.mbta.com/stops/place-ER-0115,1,,1
A9016,,Lynn Interim,,42.465290,-70.940434,CR-zone-2,https://www.mbta.com/stops/place-ER-0117,1,,1
A9017,,Swampscott,,42.473743,-70.922537,CR-zone-3,https://www.mbta.com/stops/place-ER-0128,1,,1
A9018,,Salem,,42.524792,-70.895876,CR-zone-3,https://www.mbta.com/stops/place-ER-0168,1,,1
A9019,,Beverly,,42.547276,-70.885432,CR-zone-4,https://www.mbta.com/stops/place-ER-0183,1,,1
A9020,,North Beverly,,42.583779,-70.883851,CR-zone-5,https://www.mbta.com/stops/place-ER-0208,1,,1
A9021,,Hamilton/Wenham,,42.609212,-70.874801,CR-zone-5,https://www.mbta.com/stops/place-ER-0227,1,,1
A9022,,Ipswich,,42.676921,-70.840589,CR-zone-6,https://www.mbta.com/stops/place-ER-0276,1,,1
A9023,,Rowley,,42.726845,-70.859034,CR-zone-7,https://www.mbta.com/stops/place-ER-0312,1,,1
A9024,,Newburyport,,42.797837,-70.877970,CR-zone-8,https://www.mbta.com/stops/place-ER-0362,1,,1
A9027,,Endicott,,42.233249,-71.158647,CR-zone-2,https://www.mbta.com/stops/place-FB-0109,1,,2
A9028,,Dedham Corporate Center,,42.227079,-71.174254,CR-zone-2,https://www.mbta.com/stops/place-FB-0118,1,,1
A9029,,Islington,,42.221050,-71.183961,CR-zone-3,https://www.mbta.com/stops/place-FB-0125,1,,2
A9030,,Norwood Depot,,42.196857,-71.196688,CR-zone-3,https://www.mbta.com/stops/place-FB-0143,1,,1
A9031,,Norwood Central,,42.188775,-71.199665,CR-zone-3,https://www.mbta.com/stops/place-FB-0148,1,,1
A9032,,Windsor Gardens,,42.172127,-71.219366,CR-zone-4,https://www.mbta.com/stops/place-FB-0166,1,,2
A9033,,Plimptonville,,42.159123,-71.236125,CR-zone-4,https://www.mbta.com/stops/place-FB-0177,1,,2
A9034,,Walpole,,42.145477,-71.257790,CR-zone-4,https://www.mbta.com/stops/place-FB-0191,1,,2
A9035,,Norfolk,,42.120694,-71.325217,CR-zone-5,https://www.mbta.com/stops/place-FB-0230,1,,1
A9036,,Franklin,,42.083238,-71.396102,CR-zone-6,https://www.mbta.com/stops/place-FB-0275,1,,2
A9037,,Forge Park/495,,42.089941,-71.439020,CR-zone-6,https://www.mbta.com/stops/place-FB-0303,1,,1
A9043,,Belmont,,42.395896,-71.176190,CR-zone-1,https://www.mbta.com/stops/place-FR-0064,1,,2
A9044,,Waverley,,42.387600,-71.190744,CR-zone-1,https://www.mbta.com/stops/place-FR-0074,1,,2
A9045,,Waltham,,42.374296,-71.235615,CR-zone-2,https://www.mbta.com/stops/place-FR-0098,1,,1
A9046,,Brandeis/Roberts,,42.361898,-71.260065,CR-zone-2,https://www.mbta.com/stops/place-FR-0115,1,,1
A9047,,Kendal Green,,42.378970,-71.282411,CR-zone-3,https://www.mbta.com/stops/place-FR-0132,1,,2
A9048,,Hastings,,42.385755,-71.289203,CR-zone-3,https://www.mbta.com/stops/place-FR-0137,1,,2
A9049,,Silver Hill,,42.395625,-71.302357,CR-zone-3,https://www.mbta.com/stops/place-FR-0147,1,,2
A9050,,Lincoln,,42.413641,-71.325512,CR-zone-4,https://www.mbta.com/stops/place-FR-0167,1,,2
A9051,,Concord,,42.456565,-71.357677,CR-zone-5,https://www.mbta.com/stops/place-FR-0201,1,,2
A9052,,West Concord,,42.457043,-71.392892,CR-zone-5,https://www.mbta.com/stops/place-FR-0219,1,,1
A9053,,South Acton,,42.460375,-71.457744,CR-zone-6,https://www.mbta.com/stops/place-FR-0253,1,,1
A9054,,Littleton/Route 495,,42.519236,-71.502643,CR-zone-7,https://www.mbta.com/stops/place-FR-0301,1,,1
A9055,,Ayer,,42.559074,-71.588476,CR-zone-8,https://www.mbta.com/stops/place-FR-0361,1,,2
A9056,,Shirley,,42.545089,-71.648004,CR-zone-8,https://www.mbta.com/stops/place-FR-0394,1,,2
A9057,,North Leominster,,42.539017,-71.739186,CR-zone-8,https://www.mbta.com/stops/place-FR-0451,1,,1
A9058,,Fitchburg,,42.580720,-71.792611,CR-zone-8,https://www.mbta.com/stops/place-FR-0494,1,,1
A9059,,Wachusett,,42.553477,-71.848488,CR-zone-8,https://www.mbta.com/stops/place-FR-3338,1,,1
A9060,,Foxboro,,42.095100,-71.261510,CR-zone-4,https://www.mbta.com/stops/place-FS-0049,1,,1
A9061,,Montserrat,,42.562171,-70.869254,CR-zone-4,https://www.mbta.com/stops/place-GB-0198,1,,1
A9062,,Prides Crossing,,42.559446,-70.825541,CR-zone-5,https://www.mbta.com/stops/place-GB-0222,1,,2
A9063,,Beverly Farms,,42.561651,-70.811405,CR-zone-5,https://www.mbta.com/stops/place-GB-0229,1,,1
A9064,,Manchester,,42.573687,-70.770090,CR-zone-6,https://www.mbta.com/stops/place-GB-0254,1,,1
A9065,,West Gloucester,,42.611933,-70.705417,CR-zone-7,https://www.mbta.com/stops/place-GB-0296,1,,1
A9066,,Gloucester,,42.616799,-70.668345,CR-zone-7,https://www.mbta.com/stops/place-GB-0316,1,,1
A9067,,Rockport,,42.655491,-70.627055,CR-zone-8,https://www.mbta.com/stops/place-GB-0353,1,,1
A9070,,Weymouth Landing/East Braintree,,42.221503,-70.968152,CR-zone-2,https://www.mbta.com/stops/place-GRB-0118,1,,1
A9071,,East Weymouth,,42.219100,-70.921400,CR-zone-2,https://www.mbta.com/stops/place-GRB-0146,1,,1
A9072,,West Hingham,,42.235838,-70.902708,CR-zone-3,https://www.mbta.com/stops/place-GRB-0162,1,,1
A9073,,Nantasket Junction,,42.244959,-70.869205,CR-zone-4,https://www.mbta.com/stops/place-GRB-0183,1,,1
A9074,,Cohasset,,42.244210,-70.837529,CR-zone-4,https://www.mbta.com/stops/place-GRB-0199,1,,1
A9075,,North Scituate,,42.219528,-70.788602,CR-zone-5,https://www.mbta.com/stops/place-GRB-0233,1,,1
A9076,,Greenbush,,42.178776,-70.746641,CR-zone-6,https://www.mbta.com/stops/place-GRB-0276,1,,1
A9087,,Kingston,,41.977620,-70.721709,CR-zone-8,https://www.mbta.com/stops/place-KB-0351,1,,1
A9103,,Holbrook/Randolph,,42.156343,-71.027371,CR-zone-3,https://www.mbta.com/stops/place-MM-0150,1,,1
A9104,,Montello,,42.106555,-71.022001,CR-zone-4,https://www.mbta.com/stops/place-MM-0186,1,,1
A9105,,Brockton,,42.084659,-71.016534,CR-zone-4,https://www.mbta.com/stops/place-MM-0200,1,,1
A9106,,Campello,,42.060951,-71.011004,CR-zone-5,https://www.mbta.com/stops/place-MM-0219,1,,1
A9107,,Bridgewater,,41.984916,-70.965370,CR-zone-6,https://www.mbta.com/stops/place-MM-0277,1,,1
A9108,,Middleborough/Lakeville,,41.878210,-70.918444,CR-zone-8,https://www.mbta.com/stops/place-MM-0356,1,,1
