from_stop_id,to_stop_id,transfer_type,min_transfer_time
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6471,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6416,A6472,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6416,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6417,A6471,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6418,A6436,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6419,A6437,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6434,A6570,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6436,A6418,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
A6437,A6419,1,0
