Stop ID Update Log
============================================================

Processing file: stops.txt
In column 'stop_id': 9237 rows changed.
                                old   new
                                  1    A1
                                 10    A9
                              10000 A5337
                              10003 A5338
                              10005 A5339
                              10006 A5340
                              10007 A5341
                              10008 A5342
                              10009 A5343
                               1001 C0001
                              10010 A5344
                              10011 A5345
                              10012 A5346
                              10013 A5347
                              10014 A5348
                              10015 A5349
                              10016 A5350
                              10031 A5351
                              10032 A5352
                              10033 A5353
                                101   A75
                              10100 A5354
                              10101 A5355
                              10134 C0002
                                102   A76
                               1026  A618
                               1027  A619
                               1028 C0003
                               1029  A620
                               1030  A621
                               1031 C0004
                               1032  A622
                               1033  A623
                               1034  A624
                               1035  A625
                               1036  A626
                               1038  A627
                               1039  A628
                                104   A77
                               1040  A629
                               1041  A630
                              10413 A5356
                              10417 A5357
                              10418 A5358
                              10419 A5359
                               1042  A631
                              10420 C0005
                              10421 A5360
                              10422 A5361
                              10423 A5362
                              10424 A5363
                              10425 A5364
                              10426 C0006
                              10427 A5365
                               1043  A632
                               1044 C0007
                               1045  A633
                               1046  A634
                               1049  A635
                               1051  A636
                               1052  A637
                              10522 A5366
                               1053  A638
                              10540 A5367
                               1055  A639
                               1056  A640
                              10569 A5368
                               1057  A641
                               1058  A642
                              10582 A5369
                              10590 A5370
                                106   A78
                               1060  A644
                              10603 A5371
                               1061  A645
                              10612 A5372
                              10618 A5373
                               1062  A646
                              10625 A5374
                              10633 A5375
                               1064  A647
                              10642 A5376
                               1067  A648
                               1068  A649
                                107   A79
                               1070  A650
                               1071  A651
                               1072  A652
                               1074  A653
                               1075  A654
                               1076  A655
                              10768 A5377
                              10769 A5378
                               1077  A656
                              10777 A5379
                               1079  A657
                                108   A80
                               1081  A659
                              10820 A5380
                              10821 A5381
                               1083  A660
                              10830 A5382
                              10832 C0008
                              10833 A5383
                               1084  A661
                               1085  A662
                               1086  A663
                               1087 C0009
                               1088  A664
                               1089  A665
                                109   A81
                               1090  A666
                               1092  A667
                              10923 A5385
                               1093 C0010
                               1094  A668
                               1095 C0011
                               1097 C0012
                               1098 C0013
                             109800 C0014
                             109802 A6958
                             109803 C0015
                             109804 A6959
                             109805 A6960
                             109807 C0016
                             109808 A6962
                             109809 A6963
                             109810 A6964
                             109811 A6965
                             109812 A6966
                             109814 A6967
                             109815 A6968
                             109816 A6969
                             109817 A6970
                             109818 A6971
                             109819 A6972
                             109820 A6973
                             109821 A6974
                             109822 A6975
                             109823 A6976
                             109824 A6977
                             109825 A6978
                             109826 A6979
                             109827 A6980
                             109828 A6981
                             109829 A6982
                             109830 A6983
                             109831 A6984
                             109832 A6985
                             109834 C0017
                             109835 A6986
                             109836 A6987
                             109837 C0018
                             109838 A6988
                             109840 C0019
                             109841 A6989
                             109842 A6990
                             109843 C0020
                             109844 A6991
                             109845 A6992
                             109846 A6993
                             109847 C0021
                             109848 A6994
                             109849 A6995
                             109850 C0022
                             109853 A6996
                             109856 C0023
                             109857 A6997
                             109858 A6998
                             109859 C0024
                             109860 A6999
                             109861 A7000
                             109862 A7001
                             109863 C0025
                             109864 A7002
                             109865 A7003
                             109868 C0026
                             109870 A7004
                             109871 A7005
                             109872 A7006
                             109873 A7007
                             109874 A7008
                             109875 A7009
                             109877 A7010
                             109878 A7011
                             109879 A7012
                             109880 A7013
                             109883 A7014
                             109884 A7015
                             109885 A7016
                             109886 A7017
                             109887 A7018
                             109888 A7019
                             109890 A7020
                             109891 A7021
                             109892 A7022
                             109893 A7023
                             109894 A7024
                             109895 C0027
                             109898 A7026
                             109899 A7027
                             109900 A7028
                             109901 A7029
                             109902 C0028
                             109905 C0029
                             109906 C0030
                             109914 C0031
                             109915 C0032
                                 11   A10
                                110   A82
                               1100  A669
                               1102  A670
                               1103  A671
                               1104  A672
                               1105  A673
                               1107 C0033
                              11070 A5387
                              11071 A5388
                               1109 C0034
                                111   A83
                               1110  A674
                               1111  A675
                              11111 C0035
                             111146 A7031
                             111152 A7032
                             111159 A7033
                             111179 A7034
                             111196 A7035
                               1112  A676
                             111206 A7036
                             111214 A7037
                             111217 A7038
                             111219 C0036
                             111220 C0037
                             111222 C0038
                             111223 C0039
                             111224 C0040
                             111232 A7039
                             111234 A7040
                             111236 A7041
                             111248 A7042
                             111251 A7043
                             111258 A7044
                               1113 C0041
                              11131 A5389
                               1114  A677
