season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 4:50,Middleborough/Lakeville,1.0,71,0,71,9956
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:00,Bridgewater,2.0,31,0,102,9959
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:07,Campello,3.0,33,0,135,9967
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:11,Brockton,4.0,50,2,183,9970
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:14,Montello,5.0,50,1,232,9973
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:19,Holbrook/Randolph,6.0,24,1,255,9976
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:27,Braintree,7.0,18,4,269,9979
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:32,Quincy Center,8.0,5,8,266,9982
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:41,JFK/UMass,9.0,26,13,279,9985
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,2,1,day_type_01,weekday,1/1/2024 5:50,South Station,10.0,0,279,0,9988
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,4,1,day_type_01,weekday,1/1/2024 5:50,Middleborough/Lakeville,1.0,89,0,89,9999
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,4,1,day_type_01,weekday,1/1/2024 6:00,Bridgewater,2.0,57,1,145,10000
Fall 2024,CR-Kingston,Kingston Line,44,1,day_type_01,weekday,1/1/2024 7:39,Hanson,3.0,67,0,364,10001
Fall 2024,CR-Kingston,Kingston Line,44,1,day_type_01,weekday,1/1/2024 7:45,Whitman,4.0,65,0,429,10002
Fall 2024,CR-Kingston,Kingston Line,44,1,day_type_01,weekday,1/1/2024 7:49,Abington,5.0,115,0,544,10003
Fall 2024,CR-Kingston,Kingston Line,44,1,day_type_01,weekday,1/1/2024 7:54,South Weymouth,6.0,136,0,680,10004
Fall 2024,CR-Kingston,Kingston Line,44,1,day_type_01,weekday,1/1/2024 8:02,Braintree,7.0,67,0,747,10005
Fall 2024,CR-Kingston,Kingston Line,44,1,day_type_01,weekday,1/1/2024 8:07,Quincy Center,8.0,64,3,808,10006
Fall 2024,CR-Kingston,Kingston Line,44,1,day_type_01,weekday,1/1/2024 8:16,JFK/UMass,9.0,29,66,771,10007
Fall 2024,CR-Kingston,Kingston Line,44,1,day_type_01,weekday,1/1/2024 8:28,South Station,10.0,0,771,0,10008
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 9:33,South Station,1.0,13,0,13,10009
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 9:39,JFK/UMass,2.0,0,9,4,10010
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 9:48,Quincy Center,3.0,1,0,5,10011
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 9:53,Braintree,4.0,0,2,3,10012
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 10:00,South Weymouth,5.0,0,0,3,10013
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 10:05,Abington,6.0,1,1,3,10014
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 10:09,Whitman,7.0,0,1,2,10015
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 10:15,Hanson,8.0,0,0,2,10016
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 10:20,Halifax,9.0,0,1,1,10017
Fall 2024,CR-Kingston,Kingston Line,45,0,day_type_01,weekday,1/1/2024 10:32,Kingston,10.0,0,1,0,10018
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 8:37,Kingston,1.0,61,0,61,10019
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 8:46,Halifax,2.0,13,0,74,10020
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,1/1/2024 18:27,Campello,3.0,3,1,22,10021
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 8:51,Hanson,3.0,9,0,83,10022
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 8:57,Whitman,4.0,25,0,108,10023
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 9:01,Abington,5.0,51,0,159,10024
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 9:06,South Weymouth,6.0,91,0,250,10025
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 9:14,Braintree,7.0,11,0,261,10026
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 9:19,Quincy Center,8.0,35,7,289,10027
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 9:28,JFK/UMass,9.0,1,14,276,10028
Fall 2024,CR-Kingston,Kingston Line,46,1,day_type_01,weekday,1/1/2024 9:37,South Station,10.0,0,276,0,10029
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 10:48,South Station,1.0,20,0,20,10030
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 10:54,JFK/UMass,2.0,5,0,25,10031
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 11:03,Quincy Center,3.0,1,1,25,10032
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 11:08,Braintree,4.0,0,3,22,10033
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 11:15,South Weymouth,5.0,0,4,18,10034
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 11:20,Abington,6.0,0,6,12,10035
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 11:24,Whitman,7.0,0,1,11,10036
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 11:30,Hanson,8.0,0,4,7,10037
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 11:35,Halifax,9.0,0,1,6,10038
Fall 2024,CR-Kingston,Kingston Line,47,0,day_type_01,weekday,1/1/2024 11:47,Kingston,10.0,0,6,0,10039
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 9:52,Kingston,1.0,23,0,23,10040
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:01,Halifax,2.0,9,0,32,10041
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:06,Hanson,3.0,6,0,38,10042
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:16,Whitman,4.0,12,0,50,10043
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:20,Abington,5.0,13,1,62,10044
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:25,South Weymouth,6.0,24,0,86,10045
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:32,Braintree,7.0,10,0,96,10046
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:37,Quincy Center,8.0,6,6,96,10047
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:46,JFK/UMass,9.0,0,19,77,10048
Fall 2024,CR-Kingston,Kingston Line,48,1,day_type_01,weekday,1/1/2024 10:54,South Station,10.0,0,77,0,10049
Fall 2024,CR-Kingston,Kingston Line,49,0,day_type_01,weekday,1/1/2024 12:03,South Station,1.0,31,0,31,10050
Fall 2024,CR-Kingston,Kingston Line,49,0,day_type_01,weekday,1/1/2024 12:09,JFK/UMass,2.0,10,1,40,10051
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,1/1/2024 18:31,Brockton,4.0,10,4,28,10052
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,1/1/2024 18:34,Montello,5.0,6,3,31,10053
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,1/1/2024 18:39,Holbrook/Randolph,6.0,6,7,30,10054
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,1/1/2024 18:47,Braintree,7.0,4,1,33,10055
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,1/1/2024 18:52,Quincy Center,8.0,2,8,27,10056
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,1/1/2024 19:01,JFK/UMass,9.0,2,12,17,10057
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,24,1,day_type_01,weekday,1/1/2024 19:10,South Station,10.0,0,17,0,10058
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:05,South Station,1.0,162,0,162,10059
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:11,JFK/UMass,2.0,23,3,182,10060
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:20,Quincy Center,3.0,1,15,168,10061
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:25,Braintree,4.0,7,9,166,10062
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:33,Holbrook/Randolph,5.0,0,13,153,10063
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:38,Montello,6.0,0,40,113,10064
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:41,Brockton,7.0,3,42,74,10065
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:45,Campello,8.0,0,23,51,10066
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 19:54,Bridgewater,9.0,0,18,33,10067
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,25,0,day_type_01,weekday,1/1/2024 20:06,Middleborough/Lakeville,10.0,0,33,0,10068
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,27,0,day_type_01,weekday,1/1/2024 20:35,South Station,1.0,135,0,135,10069
Fall 2024,CR-Middleborough,Middleborough/Lakeville Line,27,0,day_type_01,weekday,1/1/2024 20:41,JFK/UMass,2.0,27,3,159,10070
