route_id,day_type_name,total_boardings
CR-Fairmount,weekday,5043.680962096435
CR-Fitchburg,weekday,7319.180823687421
CR-Franklin,weekday,11913.719819145555
CR-Greenbush,weekday,4286.32677855583
CR-Haverhill,weekday,4418.090365707372
CR-Kingston,weekday,6084.040415432092
CR-Lowell,weekday,7214.915724289244
CR-Middleborough,weekday,7641.142284466408
CR-Needham,weekday,6947.951239016988
CR-Newburyport,weekday,11906.845197207213
CR-Providence,weekday,21859.00622327937
CR-Worcester,weekday,17120.100167116067
