route_id,total_boardings,pct_share,cum_share
CR-Providence,19078,0.19559756810236115,0.19559756810236115
CR-Worcester,14942,0.1531931472159283,0.3487907153182894
CR-Franklin,10398,0.10660569835036961,0.455396413668659
CR-Newburyport,10392,0.10654418323302951,0.5619405969016885
CR-Middleborough,6669,0.06837405292350596,0.6303146498251945
CR-Fitchburg,6388,0.06549309492807857,0.695807744753273
CR-Lowell,6297,0.0645601156484206,0.7603678604016936
CR-Needham,6064,0.06217127859171391,0.8225391389934075
CR-Kingston,5310,0.0544408788459764,0.8769800178393838
CR-Fairmount,4402,0.045131591088510004,0.9221116089278938
CR-Haverhill,3856,0.039533715410562144,0.961645324338456
CR-Greenbush,3741,0.038354675661543824,0.9999999999999998
