route_id,day_type_name,total_boardings
1,weekday,9253.8
10,weekday,2369.9
100,weekday,650.6
101,weekday,2667.9
104,weekday,4172.0
105,weekday,830.9
106,weekday,1915.0
108,weekday,2362.2
109,weekday,3391.2
11,weekday,1593.3
110,weekday,3192.9
111,weekday,9849.4
112,weekday,1106.9
114,weekday,350.3
116,weekday,6736.0
117,weekday,5948.9
119,weekday,1089.9
120,weekday,2192.1
121,weekday,305.7
131,weekday,261.3
132,weekday,695.2
134,weekday,1214.9
137,weekday,1137.2
14,weekday,1081.1
15,weekday,5400.2
16,weekday,6373.7
17,weekday,1972.5
171,weekday,19.4
18,weekday,192.1
19,weekday,2691.0
201,weekday,477.6
202,weekday,130.8
21,weekday,4381.6
210,weekday,805.8
211,weekday,615.1
215,weekday,1370.5
216,weekday,1448.9
217,weekday,226.9
22,weekday,7843.9
220,weekday,1093.5
222,weekday,928.9
225,weekday,1336.2
226,weekday,536.8
23,weekday,11385.6
230,weekday,816.6
236,weekday,385.40000000000003
238,weekday,1157.4
24,weekday,2155.4
240,weekday,2048.3
245,weekday,106.2
26,weekday,699.7
28,weekday,11911.4
29,weekday,1219.5
30,weekday,1948.0
31,weekday,3631.6
32,weekday,6979.3
33,weekday,1310.6
34,weekday,2035.3
34E,weekday,2928.3
35,weekday,1556.6
350,weekday,1143.6
351,weekday,24.2
354,weekday,642.8
36,weekday,2037.0
37,weekday,932.1
38,weekday,617.0
39,weekday,8884.3
4,weekday,254.6
40,weekday,1152.4
41,weekday,1375.5
411,weekday,1024.2
42,weekday,2057.7
424,weekday,304.1
426,weekday,1518.6
428,weekday,105.7
429,weekday,1464.6
43,weekday,326.9
430,weekday,979.9
435,weekday,968.3
436,weekday,674.8
439,weekday,80.9
44,weekday,2593.5
441,weekday,1056.8
442,weekday,2038.4
45,weekday,1877.9
450,weekday,1890.0
451,weekday,47.8
455,weekday,3806.9
456,weekday,137.7
47,weekday,4354.7
50,weekday,904.0
501,weekday,1096.6
504,weekday,1130.9
505,weekday,458.8
51,weekday,1263.6
52,weekday,325.8
55,weekday,77.8
553,weekday,512.7
554,weekday,113.0
556,weekday,115.9
558,weekday,105.2
57,weekday,8511.0
59,weekday,965.2
60,weekday,946.3
61,weekday,378.0
62,weekday,726.6
64,weekday,1451.3
65,weekday,2467.5
66,weekday,12500.1
67,weekday,332.3
68,weekday,371.1
69,weekday,2118.6
7,weekday,2797.5
70,weekday,5142.2
708,weekday,910.6
71,weekday,2401.3
712,weekday,1483.3
713,weekday,985.3
73,weekday,2745.4
74,weekday,1037.4
741,weekday,6113.7
742,weekday,3391.8
743,weekday,9270.3
746,weekday,876.4
747,weekday,1729.7
749,weekday,8073.3
75,weekday,946.2
751,weekday,4474.3
76,weekday,274.8
77,weekday,4804.3
78,weekday,1143.6
8,weekday,2802.6
80,weekday,629.1
83,weekday,1110.2
85,weekday,189.9
86,weekday,5524.6
87,weekday,2333.9
88,weekday,1771.7
89,weekday,2097.3
9,weekday,4850.8
90,weekday,646.6
91,weekday,841.0
92,weekday,596.0
93,weekday,2083.2
94,weekday,767.7
95,weekday,1266.6
96,weekday,950.4
97,weekday,658.8
99,weekday,711.1
