runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_70554_b_82948_d_31,115121,1,1,t_5887433_b_82948_tn_1,799180,t_5887440_b_82948_tn_8,799180
1000000,c_70554_b_82948_d_31,3106,10,1,t_5887658_b_82948_tn_1,799265,t_5887657_b_82948_tn_5,799265
1100000,c_70554_b_82948_d_31,3107,11,1,t_5887563_b_82948_tn_1,799306,t_5887567_b_82948_tn_15,799306
1200000,c_70554_b_82948_d_31,3108,12,1,t_5887662_b_82948_tn_1,799306,t_5887661_b_82948_tn_5,799306
1300000,c_70554_b_82948_d_31,3109,13,1,t_5887389_b_82948_tn_1,799905,t_5887479_b_82948_tn_15,799905
1400000,c_70554_b_82948_d_31,3110,14,1,t_5887667_b_82948_tn_1,799905,t_5887665_b_82948_tn_5,799905
1500000,c_70554_b_82948_d_31,3111,15,1,t_5887450_b_82948_tn_1,799352,t_5887444_b_82948_tn_15,799353
1600000,c_70554_b_82948_d_31,3112,16,1,t_5887422_b_82948_tn_1,799352,t_5887477_b_82948_tn_15,799353
1700000,c_70554_b_82948_d_31,3113,17,1,t_5887438_b_82948_tn_1,799411,t_5887394_b_82948_tn_15,799411
1800000,c_70554_b_82948_d_31,3114,18,1,t_5887432_b_82948_tn_1,799411,t_5887465_b_82948_tn_15,799411
1900000,c_70554_b_82948_d_31,3115,19,1,t_5887451_b_82948_tn_1,799448,t_5887446_b_82948_tn_15,799448
200000,c_70554_b_82948_d_31,116479,2,1,t_5887634_b_82948_tn_0,799480,t_5887726_b_82948_tn_0,799180
2000000,c_70554_b_82948_d_31,3116,20,1,t_5887441_b_82948_tn_1,799448,t_5887379_b_82948_tn_15,799448
2100000,c_70554_b_82948_d_31,3117,21,1,t_5887452_b_82948_tn_1,799501,t_5887449_b_82948_tn_15,799501
2200000,c_70554_b_82948_d_31,3118,22,1,t_5887457_b_82948_tn_1,799501,t_5887481_b_82948_tn_15,799501
2300000,c_70554_b_82948_d_31,3133,23,1,t_5887458_b_82948_tn_1,799554,t_5887645_b_82948_tn_15,799554
2400000,c_70554_b_82948_d_31,3134,24,1,t_5887460_b_82948_tn_1,2729862,t_5887469_b_82948_tn_15,2729862
2500000,c_70554_b_82948_d_31,3135,25,1,t_5887546_b_82948_tn_1,799554,t_5887547_b_82948_tn_15,799554
2600000,c_70554_b_82948_d_31,3155,26,1,t_5887439_b_82948_tn_1,799180,t_5887392_b_82948_tn_7,799180
2700000,c_70554_b_82948_d_31,3156,27,1,t_5887483_b_82948_tn_0,800056,t_5887496_b_82948_tn_0,800056
2800000,c_70554_b_82948_d_31,3597,28,1,t_5887545_b_82948_tn_0,799480,t_5887514_b_82948_tn_0,799779
2900000,c_70554_b_82948_d_31,3598,29,1,t_5887512_b_82948_tn_0,799480,t_5887535_b_82948_tn_0,799180
300000,c_70554_b_82948_d_31,1359344,3,1,t_5887421_b_82948_tn_1,2729862,t_5887391_b_82948_tn_15,2729862
3000000,c_70554_b_82948_d_31,3600,30,1,t_5887521_b_82948_tn_0,799480,t_5887725_b_82948_tn_0,799180
3100000,c_70554_b_82948_d_32,115121,31,1,t_5887442_b_82948_tn_1,799180,t_5887453_b_82948_tn_8,799180
3200000,c_70554_b_82948_d_32,116479,32,1,t_5887529_b_82948_tn_0,799480,t_5887519_b_82948_tn_5,799180
3300000,c_70554_b_82948_d_32,1359344,33,1,t_5887604_b_82948_tn_1,799180,t_5887604_b_82948_tn_8,2729862
3400000,c_70554_b_82948_d_32,25407,34,1,t_5887505_b_82948_tn_0,799480,t_5887506_b_82948_tn_9,799180
3500000,c_70554_b_82948_d_32,3103,35,1,t_5887463_b_82948_tn_0,799209,t_5887386_b_82948_tn_14,799209
3600000,c_70554_b_82948_d_32,3104,36,1,t_5887555_b_82948_tn_1,799180,t_5887555_b_82948_tn_8,799209
3700000,c_70554_b_82948_d_32,3105,37,1,t_5887456_b_82948_tn_0,799265,t_5887403_b_82948_tn_14,799265
3800000,c_70554_b_82948_d_32,3106,38,1,t_5887560_b_82948_tn_1,799180,t_5887560_b_82948_tn_8,799265
3900000,c_70554_b_82948_d_32,3107,39,1,t_5887434_b_82948_tn_0,799306,t_5887409_b_82948_tn_14,799306
400000,c_70554_b_82948_d_31,1363942,4,1,t_5887610_b_82948_tn_1,799180,t_5887612_b_82948_tn_4,799180
4000000,c_70554_b_82948_d_32,3108,40,1,t_5887572_b_82948_tn_1,799180,t_5887572_b_82948_tn_8,799306
4100000,c_70554_b_82948_d_32,3109,41,1,t_5887447_b_82948_tn_0,799905,t_5887399_b_82948_tn_14,799905
4200000,c_70554_b_82948_d_32,3110,42,1,t_5887576_b_82948_tn_1,799180,t_5887576_b_82948_tn_8,799905
4300000,c_70554_b_82948_d_32,3111,43,1,t_5887581_b_82948_tn_1,799180,t_5887581_b_82948_tn_8,799353
4400000,c_70554_b_82948_d_32,3112,44,1,t_5887425_b_82948_tn_0,799352,t_5887396_b_82948_tn_14,799353
4500000,c_70554_b_82948_d_32,3113,45,1,t_5887583_b_82948_tn_1,799180,t_5887583_b_82948_tn_8,799411
4600000,c_70554_b_82948_d_32,3114,46,1,t_5888035_b_82948_tn_0,799411,t_5887543_b_82948_tn_14,799411
4700000,c_70554_b_82948_d_32,3115,47,1,t_5888047_b_82948_tn_1,799180,t_5888047_b_82948_tn_9,799448
4800000,c_70554_b_82948_d_32,3116,48,1,t_5887427_b_82948_tn_0,799448,t_5888046_b_82948_tn_14,799448
4900000,c_70554_b_82948_d_32,3117,49,1,t_5887590_b_82948_tn_1,799180,t_5887590_b_82948_tn_8,799501
500000,c_70554_b_82948_d_31,1363943,5,1,t_5887611_b_82948_tn_1,799180,t_5887646_b_82948_tn_4,799180
5000000,c_70554_b_82948_d_32,3118,50,1,t_5887459_b_82948_tn_0,799501,t_5887423_b_82948_tn_14,799501
5100000,c_70554_b_82948_d_32,3133,51,1,t_5887597_b_82948_tn_0,799554,t_5887593_b_82948_tn_14,799554
5200000,c_70554_b_82948_d_32,3134,52,1,t_5887431_b_82948_tn_0,2729862,t_5887428_b_82948_tn_14,2729862
5300000,c_70554_b_82948_d_32,3135,53,1,t_5887600_b_82948_tn_1,799180,t_5887600_b_82948_tn_8,799554
5400000,c_70554_b_82948_d_32,3155,54,1,t_5887605_b_82948_tn_0,799180,t_5887606_b_82948_tn_7,799180
5500000,c_70554_b_82948_d_32,3597,55,1,t_5887502_b_82948_tn_0,799480,t_5887518_b_82948_tn_4,799180
5600000,c_70554_b_82948_d_32,3598,56,1,t_5887500_b_82948_tn_1,799180,t_5887517_b_82948_tn_7,799180
5700000,c_70554_b_82948_d_64,115121,57,1,t_5887417_b_82948_tn_1,799180,t_5887608_b_82948_tn_0,799180
5800000,c_70554_b_82948_d_64,3103,58,1,t_5887553_b_82948_tn_0,799180,t_5887552_b_82948_tn_11,799209
5900000,c_70554_b_82948_d_64,3105,59,1,t_5887559_b_82948_tn_0,799180,t_5887406_b_82948_tn_11,799265
600000,c_70554_b_82948_d_31,25407,6,1,t_5887520_b_82948_tn_0,799480,t_5887516_b_82948_tn_0,799180
6000000,c_70554_b_82948_d_64,3107,60,1,t_5887570_b_82948_tn_0,799180,t_5887562_b_82948_tn_11,799306
6100000,c_70554_b_82948_d_64,3109,61,1,t_5887573_b_82948_tn_0,799180,t_5887411_b_82948_tn_11,799905
6200000,c_70554_b_82948_d_64,3112,62,1,t_5887577_b_82948_tn_0,799180,t_5887412_b_82948_tn_11,799353
6300000,c_70554_b_82948_d_64,3114,63,1,t_5887582_b_82948_tn_0,799180,t_5887436_b_82948_tn_11,799411
6400000,c_70554_b_82948_d_64,3116,64,1,t_5887584_b_82948_tn_0,799411,t_5887437_b_82948_tn_10,799180
6500000,c_70554_b_82948_d_64,3118,65,1,t_5887587_b_82948_tn_0,799180,t_5887413_b_82948_tn_11,799501
6600000,c_70554_b_82948_d_64,3133,66,1,t_5887596_b_82948_tn_0,799180,t_5887594_b_82948_tn_11,799554
6700000,c_70554_b_82948_d_64,3134,67,1,t_5887601_b_82948_tn_0,799180,t_5887415_b_82948_tn_11,2729862
6800000,c_70554_b_82948_d_64,3155,68,1,t_5887607_b_82948_tn_0,799180,t_5887419_b_82948_tn_6,799180
6900000,c_70554_b_82948_d_64,3597,69,1,t_5887540_b_82948_tn_0,799779,t_5887626_b_82948_tn_0,799180
700000,c_70554_b_82948_d_31,3103,7,1,t_5887390_b_82948_tn_1,799209,t_5887382_b_82948_tn_2,799209
7000000,c_70554_b_82948_d_64,3598,70,1,t_5887538_b_82948_tn_0,799180,t_5887632_b_82948_tn_0,799779
