timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
6996,2933,1,20240630,20241231,1,1,1,1,1,0,0,Montello Street Via North Main Street,Weekday,Inbound,vertical,,
6997,2933,1,20240630,20241231,0,0,0,0,0,1,0,Montello Street Via North Main Street,Saturday only,Inbound,vertical,,
6998,2933,1,20240630,20241231,0,0,0,0,0,0,1,Montello Street Via North Main Street,Sunday only,Inbound,vertical,,
6999,2933,0,20240630,20241231,1,1,1,1,1,0,0,Montello Street Via North Main Street,Weekday,Outbound,vertical,,
7000,2933,0,20240630,20241231,0,0,0,0,0,1,0,Montello Street Via North Main Street,Saturday only,Outbound,vertical,,
7001,2933,0,20240630,20241231,0,0,0,0,0,0,1,Montello Street Via North Main Street,Sunday only,Outbound,vertical,,
7002,2934,1,20240630,20241231,1,1,1,1,1,0,0,S Plaza/Campello Via Main Street,Weekday,Inbound,vertical,,
7003,2934,0,20240630,20241231,1,1,1,1,1,0,0,S Plaza/Campello Via Main Street,Weekday,Outbound,vertical,,
7004,2934,1,20240630,20241231,0,0,0,0,0,1,0,S Plaza/Campello Via Main Street,Saturday only,Inbound,vertical,,
7005,2934,1,20240630,20241231,0,0,0,0,0,0,1,S Plaza/Campello Via Main Street,Sunday only,Inbound,vertical,,
7006,2934,0,20240630,20241231,0,0,0,0,0,1,0,S Plaza/Campello Via Main Street,Saturday only,Outbound,vertical,,
7007,2934,0,20240630,20241231,0,0,0,0,0,0,1,S Plaza/Campello Via Main Street,Sunday only,Outbound,vertical,,
7008,2935,1,20240630,20241231,1,1,1,1,1,0,0,VA Hospital via Belmont,Weekday,Inbound,vertical,,
7009,2935,1,20240630,20241231,0,0,0,0,0,1,0,VA Hospital via Belmont,Saturday only,Inbound,vertical,,
7010,2935,1,20240630,20241231,0,0,0,0,0,0,1,VA Hospital via Belmont,Sunday only,Inbound,vertical,,
7011,2935,0,20240630,20241231,1,1,1,1,1,0,0,VA Hospital via Belmont,Weekday,Outbound,vertical,,
7012,2935,0,20240630,20241231,0,0,0,0,0,1,0,VA Hospital via Belmont,Saturday only,Outbound,vertical,,
7013,2935,0,20240630,20241231,0,0,0,0,0,0,1,VA Hospital via Belmont,Sunday only,Outbound,vertical,,
7014,2936,1,20240630,20241231,1,1,1,1,1,0,0,Westgate via Pleasant,Weekday,Inbound,vertical,,
7015,2936,1,20240630,20241231,0,0,0,0,0,1,0,Westgate via Pleasant,Saturday only,Inbound,vertical,,
7016,2936,1,20240630,20241231,0,0,0,0,0,0,1,Westgate via Pleasant,Sunday only,Inbound,vertical,,
7017,2936,0,20240630,20241231,1,1,1,1,1,0,0,Westgate via Pleasant,Weekday,Outbound,vertical,,
7018,2936,0,20240630,20241231,0,0,0,0,0,1,0,Westgate via Pleasant,Saturday only,Outbound,vertical,,
7019,2936,0,20240630,20241231,0,0,0,0,0,0,1,Westgate via Pleasant,Sunday only,Outbound,vertical,,
7020,2937,1,20240630,20241231,1,1,1,1,1,0,0,Westgate Mall via N Warren,Weekday,Inbound,vertical,,
7021,2937,1,20240630,20241231,0,0,0,0,0,1,0,Westgate Mall via N Warren,Saturday only,Inbound,vertical,,
7022,2937,1,20240630,20241231,0,0,0,0,0,0,1,Westgate Mall via N Warren,Sunday only,Inbound,vertical,,
7023,2937,0,20240630,20241231,1,1,1,1,1,0,0,Westgate Mall via N Warren,Weekday,Outbound,vertical,,
7024,2937,0,20240630,20241231,0,0,0,0,0,1,0,Westgate Mall via N Warren,Saturday only,Outbound,vertical,,
7025,2937,0,20240630,20241231,0,0,0,0,0,0,1,Westgate Mall via N Warren,Sunday only,Outbound,vertical,,
7026,2938,0,20240630,20241231,1,1,1,1,1,0,0,Brockton Hospital via Centre Street,Weekday,Outbound,vertical,,
7027,2938,0,20240630,20241231,0,0,0,0,0,1,0,Brockton Hospital via Centre Street,Saturday only,Outbound,vertical,,
7028,2938,0,20240630,20241231,0,0,0,0,0,0,1,Brockton Hospital via Centre Street,Sunday only,Outbound,vertical,,
7029,2938,1,20240630,20241231,1,1,1,1,1,0,0,Brockton Hospital via Centre Street,Weekday,Inbound,vertical,,
7030,2939,1,20240630,20241231,0,0,0,0,0,1,0,Massasoit via Crescent Street,Saturday only,Inbound,vertical,,
7031,2939,0,20240630,20241231,1,1,1,1,1,0,0,Massasoit via Crescent Street,Weekday,Outbound,vertical,,
7032,2938,0,20240630,20241231,0,0,0,0,0,1,0,Brockton Hospital via Centre Street,Saturday only,Outbound,vertical,,
7033,2938,0,20240630,20241231,0,0,0,0,0,0,1,Brockton Hospital via Centre Street,Sunday only,Outbound,vertical,,
7034,2939,1,20240630,20241231,1,1,1,1,1,0,0,Massasoit via Crescent Street,Weekday,Inbound,vertical,,
7035,2939,1,20240630,20241231,0,0,0,0,0,1,0,Massasoit via Crescent Street,Saturday only,Inbound,vertical,,
7036,2939,1,20240630,20241231,0,0,0,0,0,0,1,Massasoit via Crescent Street,Sunday only,Inbound,vertical,,
7037,2940,1,20240630,20241231,1,1,1,1,1,0,0,Southfield via Warren & Plain Street,Weekday,Inbound,vertical,,
7038,2940,1,20240630,20241231,0,0,0,0,0,1,0,Southfield via Warren & Plain Street,Saturday only,Inbound,vertical,,
7039,2940,1,20240630,20241231,0,0,0,0,0,0,1,Southfield via Warren & Plain Street,Sunday only,Inbound,vertical,,
7040,2940,0,20240630,20241231,1,1,1,1,1,0,0,Southfield via Warren & Plain Street,Weekday,Outbound,vertical,,
7041,2940,0,20240630,20241231,0,0,0,0,0,1,0,Southfield via Warren & Plain Street,Saturday only,Outbound,vertical,,
7042,2940,0,20240630,20241231,0,0,0,0,0,0,1,Southfield via Warren & Plain Street,Sunday only,Outbound,vertical,,
7043,2941,0,20240630,20241231,1,1,1,1,1,0,0,Pearl via W Elm & Torrey,Weekday,Outbound,vertical,,
7044,2941,1,20240630,20241231,1,1,1,1,1,0,0,Pearl via W Elm & Torrey,Weekday,Inbound,vertical,,
7045,3219,0,20240630,20241231,1,1,1,1,1,0,0,Ashmont,Weekday,Outbound,vertical,,
7046,3219,0,20240630,20241231,0,0,0,0,0,1,0,Ashmont,Saturday only,Outbound,vertical,,
7047,3219,0,20240630,20241231,0,0,0,0,0,0,1,Ashmont,Sunday only,Outbound,vertical,,
7048,3219,1,20240630,20241231,1,1,1,1,1,0,0,Ashmont,Weekday,Inbound,vertical,,
7049,3219,1,20240630,20241231,0,0,0,0,0,1,0,Ashmont,Saturday only,Inbound,vertical,,
7050,3219,1,20240630,20241231,0,0,0,0,0,0,1,Ashmont,Sunday only,Inbound,vertical,,
7051,2946,1,20240630,20241231,1,1,1,1,1,0,0,Stoughton via Brockton,Weekday,Inbound,vertical,,
