runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_20558_b_78396_d_32,1296492,1,1,t_1263883_b_78396_tn_0,798326,t_1263888_b_78396_tn_0,4247234
1000000,c_24289_b_33923_d_31,5875,10,1,t_2070852_b_33923_tn_0,798326,t_5903343_b_33923_tn_0,798390
1100000,c_24289_b_33923_d_31,5878,11,1,t_2070908_b_33923_tn_0,798387,t_2070928_b_33923_tn_0,798387
1200000,c_24289_b_33923_d_31,5883,12,1,t_5903346_b_33923_tn_0,798387,t_2070841_b_33923_tn_0,798387
1300000,c_24289_b_33923_d_31,5889,13,1,t_5928554_b_33923_tn_0,798326,t_5903347_b_33923_tn_0,798326
1400000,c_24289_b_33923_d_31,5891,14,1,t_5903344_b_33923_tn_0,798387,t_5369579_b_33923_tn_0,798390
1500000,c_24289_b_33923_d_32,1365812,15,1,t_5927918_b_33923_tn_0,798326,t_5927921_b_33923_tn_0,798326
1600000,c_24289_b_33923_d_32,163585,16,1,t_5369713_b_33923_tn_0,798326,t_2070939_b_33923_tn_0,798387
1700000,c_24289_b_33923_d_32,5874,17,1,t_2070873_b_33923_tn_0,807832,t_5927906_b_33923_tn_0,798390
1800000,c_24289_b_33923_d_32,5875,18,1,t_5369810_b_33923_tn_0,798387,t_5369810_b_33923_tn_0,798326
1900000,c_24289_b_33923_d_32,5878,19,1,t_5369725_b_33923_tn_0,798387,t_2070924_b_33923_tn_0,798387
200000,c_20558_b_78396_d_32,1365822,2,1,t_1263880_b_78396_tn_0,798363,t_1263881_b_78396_tn_0,798326
2000000,c_24289_b_33923_d_32,5883,20,1,t_2070940_b_33923_tn_0,798387,t_5369811_b_33923_tn_0,798326
2100000,c_24289_b_33923_d_32,5889,21,1,t_5928557_b_33923_tn_0,798326,t_2070894_b_33923_tn_0,807834
2200000,c_24289_b_33923_d_32,5891,22,1,t_5369814_b_33923_tn_0,798326,t_5903348_b_33923_tn_0,798326
300000,c_21058_b_28942_d_31,1365822,3,1,t_1321074_b_28942_tn_0,807841,t_1321074_b_28942_tn_0,798388
400000,c_21058_b_28942_d_31,163582,4,1,t_1321075_b_28942_tn_0,798388,t_1321075_b_28942_tn_0,807841
500000,c_24289_b_33923_d_31,1296492,5,1,t_2070875_b_33923_tn_0,807832,t_2070876_b_33923_tn_0,807834
600000,c_24289_b_33923_d_31,1365812,6,1,t_5927916_b_33923_tn_0,798326,t_5927925_b_33923_tn_0,798326
700000,c_24289_b_33923_d_31,163582,7,1,t_2070838_b_33923_tn_0,807832,t_2070874_b_33923_tn_0,807832
800000,c_24289_b_33923_d_31,163585,8,1,t_2070931_b_33923_tn_0,798326,t_2070898_b_33923_tn_0,798387
900000,c_24289_b_33923_d_31,20877,9,1,t_2070923_b_33923_tn_0,798387,t_5903345_b_33923_tn_0,798326
