trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1263880_b_78396_tn_0,10:30:00,10:30:00,798363,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1263880_b_78396_tn_0,10:42:00,10:42:00,4247234,2,,0,0,2747.403792218957,1,,,,,1,1,,,,,,,,,,,
t_1263880_b_78396_tn_0,11:12:00,11:12:00,798353,3,,0,0,32225.4887090905,1,,,,,1,1,,,,,,,,,,,
t_1263880_b_78396_tn_0,11:17:00,11:17:00,798326,4,,0,0,33753.40400419999,1,,,,,1,1,,,,,,,,,,,
t_1263881_b_78396_tn_0,17:00:00,17:00:00,798363,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1263881_b_78396_tn_0,17:12:00,17:12:00,4247234,2,,0,0,2747.403792218957,1,,,,,1,1,,,,,,,,,,,
t_1263881_b_78396_tn_0,17:42:00,17:42:00,798353,3,,0,0,32225.4887090905,1,,,,,1,1,,,,,,,,,,,
t_1263881_b_78396_tn_0,17:47:00,17:47:00,798326,4,,0,0,33753.40400419999,1,,,,,1,1,,,,,,,,,,,
t_1263882_b_78396_tn_0,12:00:00,12:00:00,798363,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1263882_b_78396_tn_0,12:12:00,12:12:00,4247234,2,,0,0,2747.403792218957,1,,,,,1,1,,,,,,,,,,,
t_1263882_b_78396_tn_0,12:42:00,12:42:00,798353,3,,0,0,32225.4887090905,1,,,,,1,1,,,,,,,,,,,
t_1263882_b_78396_tn_0,12:47:00,12:47:00,798326,4,,0,0,33753.40400419999,1,,,,,1,1,,,,,,,,,,,
t_1263883_b_78396_tn_0,10:00:00,10:00:00,798326,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1263883_b_78396_tn_0,10:01:00,10:01:00,798369,2,,0,0,223.26740271552387,1,,,,,1,1,,,,,,,,,,,
t_1263883_b_78396_tn_0,10:06:00,10:06:00,798353,3,,0,0,1756.1384235271873,1,,,,,1,1,,,,,,,,,,,
t_1263883_b_78396_tn_0,10:29:00,10:30:00,798363,4,,0,0,29115.414068260765,1,,,,,1,1,,,,,,,,,,,
t_1263883_b_78396_tn_0,10:42:00,10:42:00,4247234,5,,0,0,31863.79507066997,1,,,,,1,1,,,,,,,,,,,
t_1263884_b_78396_tn_0,13:30:00,13:30:00,798326,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1263884_b_78396_tn_0,13:31:00,13:31:00,798369,2,,0,0,223.26740271552387,1,,,,,1,1,,,,,,,,,,,
t_1263884_b_78396_tn_0,13:36:00,13:36:00,798353,3,,0,0,1756.1384235271873,1,,,,,1,1,,,,,,,,,,,
t_1263884_b_78396_tn_0,13:59:00,14:00:00,798363,4,,0,0,29115.414068260765,1,,,,,1,1,,,,,,,,,,,
t_1263884_b_78396_tn_0,14:12:00,14:12:00,4247234,5,,0,0,31863.79507066997,1,,,,,1,1,,,,,,,,,,,
t_1263885_b_78396_tn_0,11:30:00,11:30:00,798326,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1263885_b_78396_tn_0,11:31:00,11:31:00,798369,2,,0,0,223.26740271552387,1,,,,,1,1,,,,,,,,,,,
t_1263885_b_78396_tn_0,11:36:00,11:36:00,798353,3,,0,0,1756.1384235271873,1,,,,,1,1,,,,,,,,,,,
t_1263885_b_78396_tn_0,11:59:00,12:00:00,798363,4,,0,0,29115.414068260765,1,,,,,1,1,,,,,,,,,,,
t_1263885_b_78396_tn_0,12:12:00,12:12:00,4247234,5,,0,0,31863.79507066997,1,,,,,1,1,,,,,,,,,,,
