timetable_id,stop_id,stop_sequence,stop_name,connected_routes
5072,798326,1,Rose Baker Senior Center,"1/Gloucester - Rockport via Eastern Ave, 2A/Gloucester Crossing/Blackburn Express, 2/Gloucester Crossing/Business Express, 3/Lanesville, 4/Gloucester - Rockport via Thatcher Road, 5/Gloucester - West Gloucester - Essex, 6/Magnolia, 7/Saturday Mall Shuttle, /Blackburn Tripper, /School Trippers, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS"
5072,798364,2,Lincoln Park,2/Gloucester Crossing/Business Express
5072,798352,3,Gloucester High School,"2/Gloucester Crossing/Business Express, 4/Gloucester - Rockport via Thatcher Road, 6/Magnolia, /School Trippers, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Downtown Gloucester to GHS, Tripper/Essex Ave to GHS, Tripper/Magnolia Ave, Atlantic St to GHS, Tripper/Magnolia to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Rocky Neck, Eastern Ave to GHS, Tripper/Washington St, Cherry St to GHS"
5072,4247221,4,YMCA (Gloucester),"2A/Gloucester Crossing/Blackburn Express, 2/Gloucester Crossing/Business Express"
5072,798351,5,Gloucester Crossing,"2/Gloucester Crossing/Business Express, /Blackburn Tripper"
5072,798312,6,Blackburn Industrial Park,"2/Gloucester Crossing/Business Express, /Blackburn Tripper, /School Trippers"
5072,798375,7,Millpond Medical Building,"2/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798299,8,Addison Gilbert Hospital,"2/Gloucester Crossing/Business Express, 3/Lanesville, /Blackburn Tripper, /School Trippers, Tripper/Downtown Gloucester to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5072,798381,9,Poplar Park,"2/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798372,10,Sheedy Park,"2/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798353,11,Commuter Rail Station - Gloucester ,"11/Stage Fort Park Shuttle, 2/Gloucester Crossing/Business Express, 3/Lanesville, 4/Gloucester - Rockport via Thatcher Road, 7/Saturday Mall Shuttle, 9/Beverly Commuter, /Blackburn Tripper, /School Trippers, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Downtown Gloucester to GHS, Tripper/Rockport, Lanesville, Washington St to GHS"
5072,798374,12,McPherson Park,"2A/Gloucester Crossing/Blackburn Express, 2/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798382,13,Post Office - City Hall,"2/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798323,14,Curtis - Clark Building,"2A/Gloucester Crossing/Blackburn Express, 2/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5072,798390,15,Senior Center - Dunkin' Donuts,"2/Gloucester Crossing/Business Express, Tripper/Back Shore, Rocky Neck to GHS"
5073,798326,1,Rose Baker Senior Center,"1/Gloucester - Rockport via Eastern Ave, 2A/Gloucester Crossing/Blackburn Express, 2/Gloucester Crossing/Business Express, 3/Lanesville, 4/Gloucester - Rockport via Thatcher Road, 5/Gloucester - West Gloucester - Essex, 6/Magnolia, 7/Saturday Mall Shuttle, /Blackburn Tripper, /School Trippers, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS"
5073,798364,2,Lincoln Park,2/Gloucester Crossing/Business Express
5073,798352,3,Gloucester High School,"2/Gloucester Crossing/Business Express, 4/Gloucester - Rockport via Thatcher Road, 6/Magnolia, /School Trippers, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Downtown Gloucester to GHS, Tripper/Essex Ave to GHS, Tripper/Magnolia Ave, Atlantic St to GHS, Tripper/Magnolia to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Rocky Neck, Eastern Ave to GHS, Tripper/Washington St, Cherry St to GHS"
5073,4247221,4,YMCA (Gloucester),"2A/Gloucester Crossing/Blackburn Express, 2/Gloucester Crossing/Business Express"
5073,798351,5,Gloucester Crossing,"2/Gloucester Crossing/Business Express, /Blackburn Tripper"
5073,798312,6,Blackburn Industrial Park,"2/Gloucester Crossing/Business Express, /Blackburn Tripper, /School Trippers"
5073,798375,7,Millpond Medical Building,"2/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
5073,798299,8,Addison Gilbert Hospital,"2/Gloucester Crossing/Business Express, 3/Lanesville, /Blackburn Tripper, /School Trippers, Tripper/Downtown Gloucester to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5073,798381,9,Poplar Park,"2/Gloucester Crossing/Business Express, /School Trippers, Tripper/Downtown Gloucester to GHS"
