ID1,PNRname,Latitude,Longitude,PNRType,PNRCost,Capacity
7080,Abington,42.106609,-70.934869,3,10,602
7064,Alewife,42.395215,-71.141807,1,27,2471
7010,Anderson/Woburn,42.517833,-71.144259,2,10,1221
7212,Andover,42.658774,-71.144939,3,10,149
7111,Ashland,42.261179,-71.481349,2,10,693
7051,Attleboro,41.941042,-71.285407,2,12,1206
7020,Auburndale,42.345715,-71.251235,2,14,47
7023,Ayer,42.561499,-71.589962,2,5,89
7183,Ballardvale,42.627495,-71.159718,3,10,120
7169,Beachmont,42.398677,-70.99288,3,15,416
7037,Bellevue,42.286723,-71.145876,4,20,37
7085,Belmont,42.397224,-71.173975,3,17,135
9997,Beverly,42.54731517,-70.88579418,2,12,0
7007,Beverly Farms,42.5619,-70.8111,2,3,60
7185,Bradford,42.766966,-71.088769,2,5,326
7065,Braintree,42.208175,-71.000484,3,27,1197
7030,Brandeis/Roberts,42.362435,-71.264692,2,10,82
7072,Bridgewater,41.985162,-70.964364,3,10,499
7074,Brockton,42.085144,-71.01593,2,12,253
9995,Brookline Hills,42.33142336,-71.12681529,3,60,0
7148,Buttler,42.272221,-71.063409,3,18,44
7073,Campello,42.060684,-71.011637,2,2,552
7057,Canton Center,42.157097,-71.14665,3,10,215
7054,Canton Junction,42.163285,-71.15437,2,10,936
7135,Chestnut Hill,42.326978,-71.164634,2,21,69
7096,Cohasset,42.243509,-70.837671,3,5,387
7027,Concord,42.456271,-71.356774,2,10,143
7047,Dedham Corp. Center,42.226656,-71.173386,2,10,497
7099,East Weymouth,42.218519,-70.921881,3,14,335
7140,Eliot,42.319082,-71.216385,2,21,52
7048,Endicott,42.233398,-71.158821,3,15,55
7210,Fairmount,42.254176,-71.119385,4,25,39
7243,Fitchburg,42.581193,-71.792578,2,9,254
7039,Forest Hills,42.299303,-71.114362,4,25,430
7040,Forge Park/495,42.089404,-71.43944,2,5,718
7014,Framingham,42.275767,-71.418095,2,10,779
7041,Franklin Depot,42.083666,-71.395944,3,9,245
7005,Gloucester,42.616182,-70.665526,3,2,100
7244,Grafton,42.245547,-71.686611,2,15,386
7094,Greenbush,42.178534,-70.74629,3,5,1000
7199,Greenwood,42.482919,-71.067014,3,21,84
7077,Halifax,42.014492,-70.824622,2,5,412
7205,Hamilton/Wenham,42.609034,-70.874384,4,7,194
7078,Hanson,42.044316,-70.88201,3,10,428
7034,Hersey,42.275994,-71.215843,4,10,309
7036,Highland,42.285502,-71.153235,4,10,175
7070,Hingham/Hewitts Cove,42.251831,-70.919427,2,6,2029
7076,Holbrook,42.156345,-71.026956,3,10,362
7129,Hull Ferry,42.303728,-70.920583,2,0,172
7055,Hyde Park,42.255192,-71.125174,4,10,121
7204,Ipswich,42.676794,-70.840284,3,0,150
7046,Islington,42.21697,-71.188257,2,10,33
7029,Kendal Green,42.378328,-71.281864,2,5,52
7113,Kingston,41.977923,-70.722971,2,10,1205
7184,Lawrence,42.70333,-71.152581,3,7,759
7028,Lincoln,42.413691,-71.325136,2,15,178
7024,Littleton/Route 495,42.520229,-71.50246,2,14,226
7187,Lowell,42.63703,-71.314783,2,7,885
7003,Lynn,42.46263,-70.945016,2,5,978
7162,Malden Center,42.426673,-71.075063,3,25,844
7211,Manchester,42.573798,-70.769144,3,0,74
7052,Mansfield,42.033029,-71.221199,2,5,1092
7143,Mattapan Trolley,42.268247,-71.092327,3,18,209
7181,Melrose Highlands,42.469713,-71.068481,4,6,67
7200,Melrose/Cedar Park,42.458343,-71.069915,3,15,82
7124,Middleboro/Lakeville,41.877488,-70.918617,2,10,769
7062,Milton,42.270158,-71.066913,3,29,37
7075,Montello,42.106577,-71.021479,4,10,411
7009,Montserrat,42.561966,-70.86912,3,8,117
7097,Nantasket Junction,42.245374,-70.867888,3,5,490
7016,Natick Center,42.285216,-71.344874,2,10,83
9994,Needham Center,42.28081747,-71.2376212,3,13,0
7031,Needham Heights,42.29399,-71.236386,3,10,99
7033,Needham Junction,42.273435,-71.235701,2,14,129
7202,Newburyport,42.797211,-70.878889,2,5,889
7042,Norfolk,42.120103,-71.326154,3,5,630
7206,North Beverly,42.583762,-70.884088,4,10,86
7188,North Billerica,42.593465,-71.281685,2,7,575
7242,North Leominster,42.539673,-71.739841,2,9,443
7209,North Quincy,42.276058,-71.030056,3,30,1190
7095,North Scituate,42.219976,-70.788255,4,10,249
9998,North station terminal garage,42.36598494,-71.06098225,4,52,0
7198,North Wilmington,42.570109,-71.159395,2,10,53
7044,Norwood Central,42.188312,-71.199261,2,10,805
7045,Norwood Depot,42.19625,-71.197312,3,15,219
7130,Oak Grove,42.436725,-71.070429,1,27,801
7060,Orient Heights,42.386647,-71.002654,3,17,411
9993,Pemberton Point,42.30375547,-70.92057317,2,0,0
7192,Plymouth,41.980767,-70.690482,1,5,336
7066,Quincy Adams,42.233379,-71.007952,3,22,2353
7182,Reading,42.521574,-71.10756,3,14,394
7049,Readville,42.238476,-71.134485,4,13,353
7134,Riverside,42.336427,-71.252936,2,10,981
7004,Rockport,42.655776,-70.626323,4,0,83
7038,Roslindale Village,42.287126,-71.130515,4,20,143
7145,Route 128,42.211149,-71.148657,2,5,2568
7203,Rowley,42.727139,-70.859467,3,5,283
7001,Salem,42.524587,-70.896798,2,5,781
7053,Sharon,42.124007,-71.184588,3,5,745
7191,Shirley,42.54556,-71.646166,2,3,116
7025,South Acton,42.460897,-71.457557,3,15,442
7050,South Attleboro,41.898451,-71.355815,2,5,792
9999,South station terminal garage,42.34996718,-71.05543805,4,61,0
7081,South Weymouth,42.154842,-70.95419,3,10,636
7083,Southborough,42.266585,-71.524552,2,14,372
7056,Stoughton,42.12424,-71.103211,2,5,463
7059,Suffolk Downs,42.391233,-70.996274,3,25,108
7158,Sullivan Square,42.38421,-71.075851,3,21,576
7002,Swampscott,42.474046,-70.922503,2,15,144
7250,TF Green Airport,41.727619,-71.44319,3,12,616
7139,Waban,42.325973,-71.230292,2,21,57
7268,Wachusett,42.552158,-71.847551,2,9,359
7197,Wakefield,42.501194,-71.074579,3,14,116
7043,Walpole,42.144884,-71.25707,2,10,483
7086,Waltham,42.377278,-71.236675,3,15,38
7142,Water Town Yard,42.36329,-71.184735,3,18,194
7012,Wedgemere,42.444485,-71.140827,3,15,156
7019,Wellesley Farms,42.321769,-71.272071,2,18,194
7018,Wellesley Hills,42.309794,-71.277287,2,18,68
7017,Wellesley Square,42.296926,-71.294409,3,18,224
7061,Wellington,42.401921,-71.075608,3,18,2212
7026,West Concord,42.457312,-71.393201,2,15,183
7006,West Gloucester,42.611922,-70.7051,4,5,43
7098,West Hingham,42.235846,-70.903047,2,10,231
7013,West Medford,42.420672,-71.132806,3,17,73
7015,West Natick,42.2826,-71.39172,3,14,178
7021,West Newton,42.347734,-71.234427,2,15,206
7035,West Roxbury,42.281127,-71.159987,4,14,62
7082,Westborough,42.270245,-71.64784,3,14,448
7100,Weymouth Landing/East Braintree,42.222462,-70.967035,3,10,290
7079,Whitman,42.082649,-70.923047,3,14,199
7251,Wickford Junction,41.581008,-71.492595,1,0,1100
7189,Wilmington,42.545198,-71.172538,4,14,198
7011,Winchester Center,42.450792,-71.137617,4,15,165
7068,Wollaston,42.266733,-71.019507,3,20,535
7167,Wonderland,42.414011,-70.991661,1,11,2286
7136,Woodland,42.332525,-71.244055,3,18,559
