route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
439,1,439,modified - YF (Nahant-Lynn),,3,,C9500E,ffffff
210,1,210,modified - WF+ (Quincy-North Quincy-Fields Corner),,3,,5A8400,ffffff
220,1,220,- MF (Hingham Depot-Quincy),,3,,A72051,ffffff
61,1,61,modified - WF (North Waltham-MarketPlace Drive) - paired with 058,,3,,005BAA,ffffff
451,1,451,modified - YF (Beverly-Salem),,3,,613FA6,ffffff
7,1,T7,modified - HF (Sullivan-Charlestown-South Boston),,3,,066A40,ffffff
8,1,T8,modified - HF (Harbor Point-Copley),,3,,A72051,ffffff
29,1,29,- YF (Mattapan - Jackson Square),,3,,ac7e00,ffffff
34E,1,34E,modified - WF+ (Walpole-Dedham-Forest Hills),,3,,005BAA,ffffff
429,1,429,- WF+ (Northgate Shopping Center - Central Square,Lynn),,3,,"ac7e00,ffffff"
96,1,T96,modified - HF (Malden-Medford-Davis-Union),,3,,A72051,ffffff
44,1,44,- WF+ (Jackson Square - Ruggles),,3,,ac7e00,ffffff
70,1,T70,modified - HF (Waltham-Watertown-Kendall),,3,,C9500E,ffffff
50,1,50,modified - WF+ (Readville-Fairmount-Hyde Park-Forest Hills),,3,,5A8400,ffffff
201,1,201,- WF (Fields Corner Loop via Neponset Ave),,3,,ac7e00,ffffff
9,1,T9,- HF (South Boston-Broadway-Copley),,3,,613FA6,ffffff
15,1,T15,- HF (Fields Corner - Ruggles),,3,,C9500E,ffffff
1,1,T1,- HF (Harvard-Back Bay-Nubian),,3,,066A40,ffffff
35,1,35,- MF (Dedham Mall-Centre St-Forest Hills),,3,,613FA6,ffffff
39,1,T39,- HF (Forest Hills - Back Bay Station),,3,,ac7e00,ffffff
230,1,230,- WF+ (Montello Commuter Rail Station - Quincy Center),,3,,ac7e00,ffffff
236,1,236,- WF (South Shore Plaza - Quincy Center),,3,,ac7e00,ffffff
504,1,504,- XF2+YF (Watertown-Downtown),,3,,5A8400,ffffff
101,1,T101,modified - HF (Medford-Sullivan-Kendall),,3,,005BAA,ffffff
119,1,119,modified - MF (Winthrop-Revere),,3,,613FA6,ffffff
238,1,238,modified - WF+ (Holbrook/Randolph-Quincy Adams),,3,,5A8400,ffffff
26,1,26,- MF (Ashmont - Gallivan Boulevard),,3,,ac7e00,ffffff
42,1,42,modified - MF (Forest Hills-Nubian-Broadway),,3,,613FA6,ffffff
11,1,11,modified - WF+ (South Boston-Broadway),,3,,007DBD,ffffff
225A,1,225,(variant) - WF+ (Quincy Center-South St-Weymouth Landing)),,3,,066A40,ffffff
455,1,455,modified - MF (Salem-Swampscott-Wonderland),,3,,613FA6,ffffff
245,1,245,- WFW (Quincy-Milton-Mattapan),,3,,A92023,ffffff
741,1,SL1,- HF (Logan Airport-South Station),,3,,7c878e,ffffff
30,1,30,- WF (Mattapan-Forest Hills),,3,,C9500E,ffffff
64,1,64,modified - MF (Oak Square-Kendall/MIT),,3,,ac7e00,ffffff
225B,1,225,- WF+ (Quincy Center-Quincy Ave-Weymouth Landing),,3,,005BAA,ffffff
215,1,215,modified - MF (Quincy Center-East Milton-Ashmont),,3,,066A40,ffffff
71,1,T71,- HF (Watertown-Harvard),,3,,005BAA,ffffff
714,1,714,modified - WF (Hull-Hingham),,3,,005BAA,ffffff
51,1,51,- WF+ (Reservoir-Bellevue-Forest Hills),,3,,A72051,ffffff
108,1,108,modified - MF (Malden Center-Kennedy Drive-Linden Square),,3,,613FA6,ffffff
21,1,21,- MF (Ashmont-Forest Hills),,3,,C9500E,ffffff
38,1,38,modified - WF+ (West Roxbury-Nubian),,3,,5A8400,ffffff
743,1,SL3,- HF (Chelsea-South Station),,3,,7c878e,ffffff
106,1,106,modified - MF (Lebanon Loop-Wellington),,3,,A72051,ffffff
87,1,87,- WF+ (Arlington Center-Lechmere),,3,,ac7e00,ffffff
58,1,58,- WF (MarketPlace Drive-Waltham-West Newton-Watertown) - paired with 061,,3,,007AB8,ffffff
28,1,T28,modified - HF (Mattapan-Nubian-Kenmore),,3,,613FA6,ffffff
105,1,105,modified - MF (Saugus-Malden),,3,,007DBD,ffffff
34,1,34,modified - MF (Legacy Place-Forest Hills),,3,,A92023,ffffff
57,1,T57,- HF (Watertown Square-Oak Square-Kenmore),,3,,5A8400,ffffff
17,1,17,- WF+ (Fields Corner - Andrew via Uphams Corner),,3,,ac7e00,ffffff
442,1,442,modified - MF (Marblehead-Swampscott-Wonderland),,3,,5A8400,ffffff
