agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
843,10746,1,LAWRENCE-HAVERHILL VIA THE LOOP,,3,https://mevatransit.com/routes/lawrence-methuen-haverhill/,ed7d31,ffffff,0,,0,1,1,,
843,10732,2,ANDOVER SQUARE VIA SOUTH BROADWAY,,3,https://mevatransit.com/routes/andover/,e51a08,ffffff,1,,0,1,1,,
843,76298,11,LAWRENCE-HAVERHILL-NEWBURYPORT LIMITED,,3,https://mevatransit.com/routes/lawrence-haverhill-direct-3/,4c256f,ffffff,10,,0,1,1,,
843,10737,12,LAWRENCE CROSSTOWN,,3,https://mevatransit.com/routes/lawrence-crosstown/,fd9acb,ffffff,11,,0,1,1,,
843,10747,13,STATELINE PLAZA/PLAISTOW,,3,https://mevatransit.com/routes/main-street-north-avenue/,1aae78,ffffff,12,,0,1,1,,
843,10743,14,LAWRENCE-HAVERHILL VIA AMAZON/WARD HILL,,3,https://mevatransit.com/routes/bradford-ward-hill/,a82555,ffffff,13,,0,1,1,,
843,10734,15,WESTGATE PLAZA VIA HILLDALE,,3,https://mevatransit.com/routes/hilldale-avenue-haverhill-commons/,a361c7,ffffff,14,,0,1,1,,
843,10729,16,WESTGATE PLAZA VIA WASHINGTON STREET,,3,https://mevatransit.com/routes/washington-street-westgate-plaza/,23868f,ffffff,15,,0,1,1,,
843,76299,17,SALISBURY BEACH VIA AMESBURY,,3,https://mevatransit.com/routes/haverhill-salisbury-beach-via-amesbury/,dd186d,ffffff,16,,0,1,1,,
843,10730,18,RIVERSIDE/GROVELAND,,3,https://mevatransit.com/routes/riverside-groveland/,007ec3,ffffff,17,,0,1,1,,
843,76300,19,AMESBURY/COSTELLO,,3,https://mevatransit.com/routes/newburyport-cr-amesbury/,33cbcc,ffffff,18,,0,1,1,,
843,76301,20,SALISBURY BEACH,,3,https://mevatransit.com/routes/newburyport-cr-salisbury-beach/,ffc967,ffffff,19,,0,1,1,,
843,10733,3,NORTH ANDOVER/WOODRIDGE,,3,https://mevatransit.com/routes/north-andover/,3fa9d6,ffffff,2,,0,1,1,,
843,10731,21,ANDOVER SHUTTLE,,3,https://mevatransit.com/routes/andover-shuttle/,ffd52d,ffffff,20,,0,1,1,,
843,76156,22,BUTTONWOODS EXPRESS,,3,https://mevatransit.com/routes/buttonwoods-express/,363232,ffffff,21,,0,1,1,,
843,10738,23,BEACH EXPRESS,,3,https://mevatransit.com/routes/beach-express-3/,6eadd2,ffffff,22,,0,1,1,,
843,10755,24,LAWRENCE-LOWELL,,3,https://mevatransit.com/routes/lawrence-lowell/,6ead75,ffffff,23,,0,1,1,,
843,10739,26,IRS/RAYTHEON (NUKES & TAXES),.,3,https://mevatransit.com/routes/irs-raytheon/,363232,ffffff,24,,0,1,1,,
843,10740,27,BEACON STREET SPECIAL,,3,https://mevatransit.com/routes/beacon-street-special/,363232,ffffff,25,,0,1,1,,
843,10748,4,THE LOOP VIA PROSPECT HILL,,3,https://mevatransit.com/routes/prospect-hill/,ca2f91,ffffff,3,,0,1,1,,
843,10749,5,MERRIMAC PLAZA/DANA FARBER VIA WATER STREET,,3,https://mevatransit.com/routes/water-street/,6d6969,ffffff,4,,0,1,1,,
843,10750,6,HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL,,3,https://mevatransit.com/routes/holy-family-hospital-lawrence-street/,fec00d,ffffff,5,,0,1,1,,
843,10751,7,BEACON STREET/MOUNT VERNON,,3,https://mevatransit.com/routes/beacon-street/,f5b496,ffffff,6,,0,1,1,,
843,10752,8,NORTH ANDOVER MALL VIA PARKER STREET,,3,https://mevatransit.com/routes/colonial-heights-north-andover-mall/,2f5598,ffffff,7,,0,1,1,,
843,10753,9,MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL,,3,https://mevatransit.com/routes/north-andover-mall-phillips-street/,00863d,ffffff,8,,0,1,1,,
843,10754,10,VILLAGE MALL VIA BROADWAY,,3,https://mevatransit.com/routes/methuen-square/,993401,ffffff,9,,0,1,1,,
