runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_70995_b_84096_d_31,26-1,26-1,1,5995652,2448919,5995652,2448921
1000000,c_70995_b_84096_d_31,HA-3P,HA-3P,1,5996048,2448845,5995781,2448845
10000000,c_70995_b_84096_d_32,IS-10A,IS-10A,1,5995684,2448914,5994906,2448754
10100000,c_70995_b_84096_d_32,IS-10P,IS-10P,1,5995166,2448754,5995627,2448780
10200000,c_70995_b_84096_d_32,IS-11A,IS-11A,1,5996733,2448780,5995668,2448754
10300000,c_70995_b_84096_d_32,IS-11P,IS-11P,1,5995553,2448754,5995535,2448754
10400000,c_70995_b_84096_d_32,IS-12A,IS-12A,1,5995854,2448882,5995835,2448845
10500000,c_70995_b_84096_d_32,IS-12P,IS-12P,1,5994893,2448845,5994849,2448882
10600000,c_70995_b_84096_d_32,IS-13A,IS-13A,1,5995667,2448882,5995283,2448882
10700000,c_70995_b_84096_d_32,IS-13P,IS-13P,1,5995834,2448882,5994892,2448882
10800000,c_70995_b_84096_d_32,IS-14A,IS-14A,1,5994888,2448845,5994891,2448882
10900000,c_70995_b_84096_d_32,IS-14P,IS-14P,1,5995305,2448882,5995859,2448845
1100000,c_70995_b_84096_d_31,HB-1A,HB-1A,1,5995839,2448845,5995609,2448845
11000000,c_70995_b_84096_d_32,IS-1A,IS-1A,1,5995203,2448882,5995715,2448882
11100000,c_70995_b_84096_d_32,IS-1P,IS-1P,1,5996006,2448882,5995544,2448866
11200000,c_70995_b_84096_d_32,IS-2A,IS-2A,1,5994920,2448882,5995773,2448882
11300000,c_70995_b_84096_d_32,IS-2P,IS-2P,1,5995624,2448882,5995861,2448845
11400000,c_70995_b_84096_d_32,IS-3A,IS-3A,1,5995573,2448866,5995420,2448882
11500000,c_70995_b_84096_d_32,IS-3P,IS-3P,1,5995198,2448882,5995678,2448882
11600000,c_70995_b_84096_d_32,IS-4A,IS-4A,1,5995862,2448845,5995860,2448845
11700000,c_70995_b_84096_d_32,IS-4P,IS-4P,1,5995865,2448845,5995863,2448882
11800000,c_70995_b_84096_d_32,IS-7A,IS-7A,1,5996148,2448780,5995699,2448914
