timetable_id,stop_id,stop_sequence,stop_name,connected_routes
3435,2448774,1,Senior Center,21/ANDOVER SHUTTLE
3435,2448727,2,Chestnut Court,21/ANDOVER SHUTTLE
3435,4212889,3,Senior Center,21/ANDOVER SHUTTLE
3435,2448787,4,Main Street & Central Street,"21/ANDOVER SHUTTLE, 2/ANDOVER SQUARE VIA SOUTH BROADWAY"
3435,2448793,5,Andover Commons,21/ANDOVER SHUTTLE
3435,2448750,6,Shawsheen Plaza,21/ANDOVER SHUTTLE
3435,2448773,7,Frye Circle,21/ANDOVER SHUTTLE
3435,2448771,8,Doctors Park,21/ANDOVER SHUTTLE
3435,2448829,9,YMCA,21/ANDOVER SHUTTLE
3436,2448829,1,YMCA,21/ANDOVER SHUTTLE
3436,2448875,2,North Andover Mall - Market Basket,"21/ANDOVER SHUTTLE, 3/NORTH ANDOVER/WOODRIDGE, 8/NORTH ANDOVER MALL VIA PARKER STREET, 9/MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL"
3436,2448835,3,Doctors Park,"21/ANDOVER SHUTTLE, 8/NORTH ANDOVER MALL VIA PARKER STREET"
3436,2448865,4,Frye Circle,21/ANDOVER SHUTTLE
3436,2448750,5,Shawsheen Plaza,21/ANDOVER SHUTTLE
3436,2448911,6,Andover Commons,21/ANDOVER SHUTTLE
3436,2448891,7,Main Street & Central Street,"21/ANDOVER SHUTTLE, 2/ANDOVER SQUARE VIA SOUTH BROADWAY"
3436,2448774,8,Senior Center,21/ANDOVER SHUTTLE
3518,2579602,1,Plaistow Walmart,13/STATELINE PLAZA/PLAISTOW
3518,2579603,2,Plaistow Market Basket,13/STATELINE PLAZA/PLAISTOW
3518,2448766,3,Stateline Plaza - TJ Maxx,13/STATELINE PLAZA/PLAISTOW
3518,2448867,4,Monument Square,13/STATELINE PLAZA/PLAISTOW
3518,2448845,5,Washington Square Transit Center,"13/STATELINE PLAZA/PLAISTOW, 14/LAWRENCE-HAVERHILL VIA AMAZON/WARD HILL, 15/WESTGATE PLAZA VIA HILLDALE, 16/WESTGATE PLAZA VIA WASHINGTON STREET, 17/SALISBURY BEACH VIA AMESBURY, 18/RIVERSIDE/GROVELAND, 1/LAWRENCE-HAVERHILL VIA THE LOOP, 23/BEACH EXPRESS, 51/Haverhill-Amesbury"
3519,2448845,1,Washington Square Transit Center,"13/STATELINE PLAZA/PLAISTOW, 14/LAWRENCE-HAVERHILL VIA AMAZON/WARD HILL, 15/WESTGATE PLAZA VIA HILLDALE, 16/WESTGATE PLAZA VIA WASHINGTON STREET, 17/SALISBURY BEACH VIA AMESBURY, 18/RIVERSIDE/GROVELAND, 1/LAWRENCE-HAVERHILL VIA THE LOOP, 23/BEACH EXPRESS, 51/Haverhill-Amesbury"
3519,2448842,2,Monument Square,13/STATELINE PLAZA/PLAISTOW
3519,2448825,3,North Avenue & Gas Company Road,13/STATELINE PLAZA/PLAISTOW
3519,2448766,4,Stateline Plaza - TJ Maxx,13/STATELINE PLAZA/PLAISTOW
3519,2579602,5,Plaistow Walmart,13/STATELINE PLAZA/PLAISTOW
3520,2448882,1,McGovern Transportation Center,"10/VILLAGE MALL VIA BROADWAY, 11/LAWRENCE-HAVERHILL-NEWBURYPORT LIMITED, 14/LAWRENCE-HAVERHILL VIA AMAZON/WARD HILL, 1/LAWRENCE-HAVERHILL VIA THE LOOP, 23/BEACH EXPRESS, 24/LAWRENCE-LOWELL, 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 3/NORTH ANDOVER/WOODRIDGE, 4/THE LOOP VIA PROSPECT HILL, 5/MERRIMAC PLAZA/DANA FARBER VIA WATER STREET, 6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL, 7/BEACON STREET/MOUNT VERNON, 8/NORTH ANDOVER MALL VIA PARKER STREET, 9/MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL"
3520,4247429,2,Lawrence General Hospital (Main Entrance),6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3520,2448930,3,Senior Center,"12/LAWRENCE CROSSTOWN, 4/THE LOOP VIA PROSPECT HILL, 6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL"
3520,2448812,4,Elm Towers,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3520,2448860,5,Rita Hall,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3520,2448737,6,Holy Family Hospital,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3521,2448882,1,McGovern Transportation Center,"10/VILLAGE MALL VIA BROADWAY, 11/LAWRENCE-HAVERHILL-NEWBURYPORT LIMITED, 14/LAWRENCE-HAVERHILL VIA AMAZON/WARD HILL, 1/LAWRENCE-HAVERHILL VIA THE LOOP, 23/BEACH EXPRESS, 24/LAWRENCE-LOWELL, 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 3/NORTH ANDOVER/WOODRIDGE, 4/THE LOOP VIA PROSPECT HILL, 5/MERRIMAC PLAZA/DANA FARBER VIA WATER STREET, 6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL, 7/BEACON STREET/MOUNT VERNON, 8/NORTH ANDOVER MALL VIA PARKER STREET, 9/MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL"
3521,4247429,2,Lawrence General Hospital (Main Entrance),6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3521,2448930,3,Senior Center,"12/LAWRENCE CROSSTOWN, 4/THE LOOP VIA PROSPECT HILL, 6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL"
3521,2448812,4,Elm Towers,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3521,2448860,5,Rita Hall,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3521,2448737,6,Holy Family Hospital,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3523,2448737,1,Holy Family Hospital,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3523,2448846,2,Rita Hall,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3523,2448792,3,Elm Towers,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3523,4247432,4,Senior Center,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3523,4247429,5,Lawrence General Hospital (Main Entrance),6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3523,2448882,6,McGovern Transportation Center,"10/VILLAGE MALL VIA BROADWAY, 11/LAWRENCE-HAVERHILL-NEWBURYPORT LIMITED, 14/LAWRENCE-HAVERHILL VIA AMAZON/WARD HILL, 1/LAWRENCE-HAVERHILL VIA THE LOOP, 23/BEACH EXPRESS, 24/LAWRENCE-LOWELL, 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 3/NORTH ANDOVER/WOODRIDGE, 4/THE LOOP VIA PROSPECT HILL, 5/MERRIMAC PLAZA/DANA FARBER VIA WATER STREET, 6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL, 7/BEACON STREET/MOUNT VERNON, 8/NORTH ANDOVER MALL VIA PARKER STREET, 9/MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL"
3524,2448737,1,Holy Family Hospital,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3524,2448846,2,Rita Hall,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3524,2448792,3,Elm Towers,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3524,4247432,4,Senior Center,6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3524,4247429,5,Lawrence General Hospital (Main Entrance),6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL
3524,2448882,6,McGovern Transportation Center,"10/VILLAGE MALL VIA BROADWAY, 11/LAWRENCE-HAVERHILL-NEWBURYPORT LIMITED, 14/LAWRENCE-HAVERHILL VIA AMAZON/WARD HILL, 1/LAWRENCE-HAVERHILL VIA THE LOOP, 23/BEACH EXPRESS, 24/LAWRENCE-LOWELL, 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 3/NORTH ANDOVER/WOODRIDGE, 4/THE LOOP VIA PROSPECT HILL, 5/MERRIMAC PLAZA/DANA FARBER VIA WATER STREET, 6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL, 7/BEACON STREET/MOUNT VERNON, 8/NORTH ANDOVER MALL VIA PARKER STREET, 9/MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL"
3613,2448764,1,McGovern Transportation Center,"23/BEACH EXPRESS, 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 99/Methuen-Lawrence-Andover to Boston"
3613,2448723,2,S Broadway & Mt Vernon Street,"26/IRS/RAYTHEON (NUKES & TAXES), 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 99/Methuen-Lawrence-Andover to Boston"
3613,2448813,3,Shawsheen Square,2/ANDOVER SQUARE VIA SOUTH BROADWAY
3613,2448891,4,Main Street & Central Street,"21/ANDOVER SHUTTLE, 2/ANDOVER SQUARE VIA SOUTH BROADWAY"
3613,2448849,5,Main Street & School Street,2/ANDOVER SQUARE VIA SOUTH BROADWAY
3614,2448849,1,Main Street & School Street,2/ANDOVER SQUARE VIA SOUTH BROADWAY
3614,2448890,2,Andover Square,2/ANDOVER SQUARE VIA SOUTH BROADWAY
3614,2448724,3,Shawsheen Square,"2/ANDOVER SQUARE VIA SOUTH BROADWAY, 99/Methuen-Lawrence-Andover to Boston"
3614,2448810,4,S Broadway & Mt Vernon Street,"26/IRS/RAYTHEON (NUKES & TAXES), 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 99/Methuen-Lawrence-Andover to Boston"
3614,2448882,5,McGovern Transportation Center,"10/VILLAGE MALL VIA BROADWAY, 11/LAWRENCE-HAVERHILL-NEWBURYPORT LIMITED, 14/LAWRENCE-HAVERHILL VIA AMAZON/WARD HILL, 1/LAWRENCE-HAVERHILL VIA THE LOOP, 23/BEACH EXPRESS, 24/LAWRENCE-LOWELL, 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 3/NORTH ANDOVER/WOODRIDGE, 4/THE LOOP VIA PROSPECT HILL, 5/MERRIMAC PLAZA/DANA FARBER VIA WATER STREET, 6/HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL, 7/BEACON STREET/MOUNT VERNON, 8/NORTH ANDOVER MALL VIA PARKER STREET, 9/MERRIMACK COLLEGE VIA SOUTH UNION STREET/NORTH ANDOVER MALL"
3615,2448764,1,McGovern Transportation Center,"23/BEACH EXPRESS, 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 99/Methuen-Lawrence-Andover to Boston"
3615,2448723,2,S Broadway & Mt Vernon Street,"26/IRS/RAYTHEON (NUKES & TAXES), 2/ANDOVER SQUARE VIA SOUTH BROADWAY, 99/Methuen-Lawrence-Andover to Boston"
3615,2448813,3,Shawsheen Square,2/ANDOVER SQUARE VIA SOUTH BROADWAY
3615,2448891,4,Main Street & Central Street,"21/ANDOVER SHUTTLE, 2/ANDOVER SQUARE VIA SOUTH BROADWAY"
3615,2448849,5,Main Street & School Street,2/ANDOVER SQUARE VIA SOUTH BROADWAY
