timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
3435,10731,0,20250105,20250628,1,1,1,1,1,0,0,ANDOVER SHUTTLE,Weekday,Outbound,horizontal,,
3436,10731,1,20250105,20250628,1,1,1,1,1,0,0,ANDOVER SHUTTLE,Weekday,Inbound,horizontal,,
3518,10747,1,20250105,20250628,1,1,1,1,1,0,0,STATELINE PLAZA/PLAISTOW,Weekday,Inbound,horizontal,,
3519,10747,0,20250105,20250628,1,1,1,1,1,0,0,STATELINE PLAZA/PLAISTOW,Weekday,Outbound,horizontal,,
3520,10750,0,20250105,20250628,1,1,1,1,1,0,0,HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL,Weekday,Outbound,horizontal,,
3521,10750,0,20250105,20250628,0,0,0,0,0,1,0,HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL,Saturday only,Outbound,horizontal,,
3523,10750,1,20250105,20250628,1,1,1,1,1,0,0,HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL,Weekday,Inbound,horizontal,,
3524,10750,1,20250105,20250628,0,0,0,0,0,1,0,HOLY FAMILY HOSPITAL VIA LAWRENCE GENERAL,Saturday only,Inbound,horizontal,,
3613,10732,0,20250105,20250628,1,1,1,1,1,0,0,ANDOVER SQUARE VIA SOUTH BROADWAY,Weekday,Outbound,horizontal,,
3614,10732,1,20250105,20250628,1,1,1,1,1,0,0,ANDOVER SQUARE VIA SOUTH BROADWAY,Weekday,Inbound,horizontal,,
3615,10732,0,20250105,20250628,0,0,0,0,0,1,0,ANDOVER SQUARE VIA SOUTH BROADWAY,Saturday only,Outbound,horizontal,,
3617,10732,1,20250105,20250628,0,0,0,0,0,1,0,ANDOVER SQUARE VIA SOUTH BROADWAY,Saturday only,Inbound,horizontal,,
3619,10751,1,20250105,20250628,1,1,1,1,1,0,0,BEACON STREET/MOUNT VERNON,Weekday,Inbound,horizontal,,
