shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
6e765138-e55b-4d2c-bceb-9eec52c17329,42.2762299940723,-71.4107333964546,6,1444.53
323f9295-34b2-4025-9518-f7c5a6ad0acc,42.2941230114772,-71.463948426482,5,487.13
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.3024190844547,-71.3853288522559,70,21136.3
27450b0e-5e21-4200-9c8b-6049b96a1ba5,42.2936174150477,-71.469366489015,0,0
57ffc5ea-7717-460b-97c9-b956dbb5ec84,42.3008003712178,-71.3881451718894,74,15002.55
87a2315d-d10b-433b-bdf3-bee2f5d841c3,42.3218141389974,-71.5302767771648,13,4189.35
d3410dfa-b265-484b-bde8-cc505aeb670d,42.300620663203,-71.3502348274132,5,2678.98
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.3021307469684,-71.3802044916275,38,6993.75
dbdc228e-b90f-495b-a216-14a6399b1186,42.2936174150477,-71.469366489015,15,6499.5
a4343a34-dbe1-4155-8e64-098298f2e552,42.305753070459,-71.5260227934136,10,5758.86
334cc08f-6be8-4345-8a47-456b7f0f94b3,42.3391224348022,-71.5889326685031,24,8243.57
58d6daae-0b71-4e38-94f2-d3bdfab96f37,42.2594943499264,-71.4601075029437,12,5458.63
ee4a9731-d677-46cf-b6de-4056519c82df,42.3079511408777,-71.2597867107264,26,4481.09
a4343a34-dbe1-4155-8e64-098298f2e552,42.3467975763558,-71.5476655392448,2,312.72
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.2982536136063,-71.408145064601,80,11452.44
7873e67f-97ec-4a6e-a398-1b17ebe07afd,42.2565841529718,-71.4265141741344,36,15960.92
3082c696-a8ca-475e-929d-a6a5e1744f4f,42.3110155648598,-71.263363436661,41,16768.54
a4343a34-dbe1-4155-8e64-098298f2e552,42.2927912946219,-71.4879756562695,17,9602.25
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.3020663739482,-71.3843444814887,69,21046.41
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.2804853189281,-71.3472562341247,94,22447.17
6ad13089-7874-4511-94fc-2e65506ae49c,42.281896160954,-71.4206092906361,13,2002.28
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2853401175344,-71.3464314548034,7,2378.04
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.282049046877,-71.3878152601609,14,3831.44
1f7032ca-1182-45a2-9627-770580c1aca9,42.302639025607,-71.3758499250322,26,4723.76
6ad13089-7874-4511-94fc-2e65506ae49c,42.3044736566826,-71.5153221199108,35,12446.88
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.2744034096243,-71.3541401239717,35,8279.22
