trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,18:25:00,18:25:00,1,1,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,18:34:00,18:34:00,2,2,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,18:36:00,18:36:00,3,3,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,18:42:00,18:42:00,4,4,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,18:46:00,18:46:00,5,5,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,18:48:00,18:48:00,6,6,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,18:53:00,18:53:00,7,7,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,18:57:00,18:57:00,8,8,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,19:00:00,19:00:00,9,9,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,19:04:00,19:04:00,10,10,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,19:07:00,19:07:00,11,11,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,19:12:00,19:12:00,12,12,0,0
c00418c7-5ee7-43c9-b950-2a5cc65e86a3,19:18:00,19:18:00,1,13,0,0
b0513902-702a-4e47-8c1d-f72bbad045cd,13:15:00,13:15:00,13,1,0,0
b0513902-702a-4e47-8c1d-f72bbad045cd,13:20:00,13:20:00,14,2,0,0
b0513902-702a-4e47-8c1d-f72bbad045cd,13:50:00,13:50:00,15,3,0,0
820759f5-609c-4c4d-a488-2224a4624e4d,13:57:00,13:57:00,16,1,0,0
820759f5-609c-4c4d-a488-2224a4624e4d,14:05:13,14:05:13,17,2,0,0
820759f5-609c-4c4d-a488-2224a4624e4d,14:09:00,14:09:00,18,3,0,0
820759f5-609c-4c4d-a488-2224a4624e4d,14:15:00,14:15:00,19,4,0,0
820759f5-609c-4c4d-a488-2224a4624e4d,14:19:00,14:19:00,20,5,0,0
820759f5-609c-4c4d-a488-2224a4624e4d,14:21:00,14:21:00,21,6,0,0
820759f5-609c-4c4d-a488-2224a4624e4d,14:24:00,14:24:00,22,7,0,0
820759f5-609c-4c4d-a488-2224a4624e4d,14:30:00,14:30:00,1,8,0,0
7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,17:45:00,17:45:00,16,1,0,0
7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,17:53:13,17:53:13,17,2,0,0
7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,17:57:00,17:57:00,18,3,0,0
7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,18:10:00,18:10:00,19,4,0,0
7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,18:15:00,18:15:00,20,5,0,0
7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,18:18:00,18:18:00,21,6,0,0
7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,18:21:00,18:21:00,22,7,0,0
7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,18:25:00,18:25:00,1,8,0,0
63eab7fe-d7eb-484a-8ac1-4772762cab08,08:15:00,08:15:00,23,1,0,0
63eab7fe-d7eb-484a-8ac1-4772762cab08,08:19:00,08:19:00,24,2,0,0
63eab7fe-d7eb-484a-8ac1-4772762cab08,08:24:00,08:24:00,25,3,0,0
63eab7fe-d7eb-484a-8ac1-4772762cab08,08:26:00,08:26:00,4,4,0,0
63eab7fe-d7eb-484a-8ac1-4772762cab08,08:34:00,08:34:00,26,5,0,0
63eab7fe-d7eb-484a-8ac1-4772762cab08,08:38:00,08:38:00,27,6,0,0
63eab7fe-d7eb-484a-8ac1-4772762cab08,08:40:00,08:40:00,28,7,0,0
63eab7fe-d7eb-484a-8ac1-4772762cab08,08:50:00,08:50:00,29,8,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,12:51:00,12:51:00,30,1,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,12:55:00,12:55:00,31,2,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,12:55:27,12:55:27,32,3,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,12:58:00,12:58:00,33,4,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,12:59:00,12:59:00,34,5,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,13:07:00,13:07:00,35,6,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,13:09:00,13:09:00,36,7,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,13:13:00,13:13:00,37,8,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,13:15:00,13:15:00,38,9,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,13:17:00,13:17:00,39,10,0,0
1cf47614-8a1e-44e9-8018-421598fe8030,13:21:00,13:21:00,16,11,0,0
9e5b2469-cdf9-41dc-bfca-9a1f5652de31,14:15:00,14:15:00,1,1,0,0
9e5b2469-cdf9-41dc-bfca-9a1f5652de31,14:19:00,14:19:00,40,2,0,0
9e5b2469-cdf9-41dc-bfca-9a1f5652de31,14:21:00,14:21:00,41,3,0,0
9e5b2469-cdf9-41dc-bfca-9a1f5652de31,14:25:00,14:25:00,22,4,0,0
9e5b2469-cdf9-41dc-bfca-9a1f5652de31,14:28:00,14:28:00,42,5,0,0
9e5b2469-cdf9-41dc-bfca-9a1f5652de31,14:32:00,14:32:00,21,6,0,0
9e5b2469-cdf9-41dc-bfca-9a1f5652de31,14:36:00,14:36:00,20,7,0,0
9e5b2469-cdf9-41dc-bfca-9a1f5652de31,14:40:00,14:40:00,19,8,0,0
aa4062fb-ada5-45a1-a549-92ba61c994e0,12:50:00,12:50:00,15,1,0,0
aa4062fb-ada5-45a1-a549-92ba61c994e0,13:10:00,13:10:00,13,2,0,0
30d4105b-cbe9-4096-8a6c-5b7dcf787426,06:25:00,06:25:00,43,1,0,0
30d4105b-cbe9-4096-8a6c-5b7dcf787426,06:35:00,06:35:00,16,2,0,0
30d4105b-cbe9-4096-8a6c-5b7dcf787426,06:43:00,06:43:00,18,3,0,0
30d4105b-cbe9-4096-8a6c-5b7dcf787426,06:54:00,06:54:00,21,4,0,0
30d4105b-cbe9-4096-8a6c-5b7dcf787426,07:03:00,07:03:00,22,5,0,0
30d4105b-cbe9-4096-8a6c-5b7dcf787426,07:09:00,07:09:00,1,6,0,0
18c7e677-97be-471d-99ff-6e1888d49470,11:42:00,11:42:00,16,1,0,0
18c7e677-97be-471d-99ff-6e1888d49470,11:50:13,11:50:13,17,2,0,0
18c7e677-97be-471d-99ff-6e1888d49470,11:54:00,11:54:00,18,3,0,0
18c7e677-97be-471d-99ff-6e1888d49470,12:00:00,12:00:00,19,4,0,0
18c7e677-97be-471d-99ff-6e1888d49470,12:04:00,12:04:00,20,5,0,0
18c7e677-97be-471d-99ff-6e1888d49470,12:06:00,12:06:00,21,6,0,0
18c7e677-97be-471d-99ff-6e1888d49470,12:09:00,12:09:00,22,7,0,0
18c7e677-97be-471d-99ff-6e1888d49470,12:13:00,12:13:00,1,8,0,0
401b2d95-3e84-4403-83a3-addf15e0e0f2,09:38:00,09:38:00,23,1,0,0
401b2d95-3e84-4403-83a3-addf15e0e0f2,09:42:00,09:42:00,24,2,0,0
401b2d95-3e84-4403-83a3-addf15e0e0f2,09:50:00,09:50:00,25,3,0,0
401b2d95-3e84-4403-83a3-addf15e0e0f2,09:52:00,09:52:00,4,4,0,0
401b2d95-3e84-4403-83a3-addf15e0e0f2,10:00:00,10:00:00,26,5,0,0
401b2d95-3e84-4403-83a3-addf15e0e0f2,10:04:00,10:04:00,27,6,0,0
401b2d95-3e84-4403-83a3-addf15e0e0f2,10:06:00,10:06:00,28,7,0,0
401b2d95-3e84-4403-83a3-addf15e0e0f2,10:16:00,10:16:00,29,8,0,0
6fe9a7b7-504d-4b42-bc83-76e51d0a4817,17:17:00,17:17:00,44,1,0,0
6fe9a7b7-504d-4b42-bc83-76e51d0a4817,17:20:52,17:20:52,45,2,0,0
6fe9a7b7-504d-4b42-bc83-76e51d0a4817,17:27:00,17:27:00,46,3,0,0
6fe9a7b7-504d-4b42-bc83-76e51d0a4817,17:31:00,17:31:00,47,4,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:05:00,16:05:00,1,1,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:17:00,16:17:00,3,2,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:19:00,16:19:00,4,3,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:23:00,16:23:00,5,4,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:27:00,16:27:00,6,5,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:32:00,16:32:00,7,6,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:36:00,16:36:00,8,7,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:39:00,16:39:00,9,8,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:48:00,16:48:00,10,9,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:52:00,16:52:00,11,10,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,16:57:00,16:57:00,12,11,0,0
bba0f95a-4e87-45d8-a041-3d2004a7b1a9,17:05:00,17:05:00,1,12,0,0
c9d5b17b-1040-453e-b130-d7e302bc1cc0,10:25:00,10:25:00,13,1,0,0
c9d5b17b-1040-453e-b130-d7e302bc1cc0,10:30:00,10:30:00,14,2,0,0
c9d5b17b-1040-453e-b130-d7e302bc1cc0,10:55:00,10:55:00,15,3,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,14:44:00,14:44:00,12,1,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,14:48:00,14:48:00,10,2,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,14:55:00,14:55:00,48,3,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,14:56:00,14:56:00,49,4,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:03:00,15:03:00,8,5,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:07:00,15:07:00,50,6,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:13:00,15:13:00,4,7,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:21:00,15:21:00,51,8,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:24:00,15:24:00,52,9,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:30:00,15:30:00,53,10,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:33:00,15:33:00,54,11,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:36:00,15:36:00,55,12,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:41:00,15:41:00,56,13,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:50:00,15:50:00,57,14,0,0
30d027c2-e214-43af-994d-7b941ba7c1f7,15:53:00,15:53:00,12,15,0,0
066dff80-d8b0-4d8c-b236-75e6841c19fa,14:55:00,14:55:00,16,1,0,0
066dff80-d8b0-4d8c-b236-75e6841c19fa,15:03:13,15:03:13,17,2,0,0
066dff80-d8b0-4d8c-b236-75e6841c19fa,15:07:00,15:07:00,18,3,0,0
066dff80-d8b0-4d8c-b236-75e6841c19fa,15:13:00,15:13:00,19,4,0,0
066dff80-d8b0-4d8c-b236-75e6841c19fa,15:18:00,15:18:00,20,5,0,0
