stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
1,BH,"Blandin Hub",15 Blandin Ave Hub,42.275875,-71.411844,0
2,N38,"Mathworks Lakeside Speen St",,42.302639,-71.375850,0
3,F88,"Cloverleaf Mall",Burlington Aldi,42.303635,-71.378503,0
4,N21,"Natick Mall - Wegmans",Natick Mall- Wegmans,42.301467,-71.386351,0
5,F25,"Shoppers World Shelter",,42.299806,-71.394922,0
6,F26,"Kohls",,42.302968,-71.397203,0
7,F67,"BJs Wholesale Club",,42.306957,-71.399090,0
8,F43,"Walmart",,42.300242,-71.400487,0
9,F73,"Concord St/ Anzio Rd",,42.293092,-71.409180,0
10,F15,"MetroWest Medical Center",,42.284385,-71.420043,0
11,F54,"Franklin / Mt. Wayte",,42.290063,-71.428665,0
12,F56,"Banana Lot/Intermodal Center",Framingham MBTA (Rear),42.277084,-71.417529,0
13,F11,"Framingham State University",,42.297730,-71.437230,0
14,F77,"Mass Bay Framingham",,42.290298,-71.429520,0
15,W18,"MassBay Community College",,42.311932,-71.262961,0
16,MF6,"Milford Crossing",,42.149921,-71.488361,0
17,HL2,"Mission Springs",,42.179225,-71.444045,0
18,HL1,"Holliston Public Library",,42.200706,-71.429371,0
19,A4,"Shaws Supermarket",,42.240777,-71.432533,0
20,A3,"Market Basket",,42.257457,-71.426943,0
21,F68,"Memorial House (Winthrop & Hollis)",,42.270069,-71.419979,0
22,F02,"Framingham MBTA Station",,42.276555,-71.417774,0
23,F58,"The Green at 9 and 90 Rear Parking",,42.293592,-71.470822,0
24,F34,"High St",,42.300134,-71.435702,0
25,F40,"Flutie Pass Park and Ride",,42.300721,-71.390905,0
26,N20,"9/27 Shopping Plaza",,42.301094,-71.359134,0
27,W1,"Oak St",,42.303611,-71.331970,0
28,W19,"Weston Rd",,42.305336,-71.312662,0
29,W5,"Woodland MBTA Train Station",,42.333181,-71.243103,0
30,MF15,"Milford Regional Medical Center",,42.132698,-71.528843,0
31,MF16,"Milford Shaws/Wallgreens",,42.138221,-71.534690,0
32,MF28,"Milford District Court",,42.140719,-71.536297,0
33,MF18,"Milford High School",,42.150858,-71.532409,0
34,MF19,"Colonial Rd Capital Rd Housing",,42.156893,-71.537067,0
35,MF22,"Birmingham Court",,42.151199,-71.518674,0
36,MF5,"Milford Library",,42.144004,-71.523115,0
37,MF10,"Milford Town Hall- Route 14",,42.142457,-71.517996,0
