route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
04N,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,c00418c7-5ee7-43c9-b950-2a5cc65e86a3,Blandin Ave,0,4e222d71-90ef-43e0-8,116c48b8-ccc9-4391-ac93-d38c3ed825a9
MBCS,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,b0513902-702a-4e47-8c1d-f72bbad045cd,Mass Bay Wellesley Campus,0,c9b00d21-f3bd-4c9e-b,3082c696-a8ca-475e-929d-a6a5e1744f4f
6,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,820759f5-609c-4c4d-a488-2224a4624e4d,Central Hub,0,26a9d4c2-e714-4af5-b,7873e67f-97ec-4a6e-a398-1b17ebe07afd
6,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,7c769cf2-b2d9-463f-bd6f-9dd9151d6bd0,Central Hub,0,6c47c027-383e-4797-b,7873e67f-97ec-4a6e-a398-1b17ebe07afd
GL,f7940532-af59-4413-a61b-337c5f1cad72,63eab7fe-d7eb-484a-8ac1-4772762cab08,Woodland,0,8a9f55f0-4175-48a1-9,32244de3-9fd2-4a6d-9298-3f65a391c061
14,f7940532-af59-4413-a61b-337c5f1cad72,1cf47614-8a1e-44e9-8018-421598fe8030,Mission Springs,0,75a84808-efc9-41b2-9,adf6bdfe-a1c8-4952-b53b-0b7276ceae9e
04S,f7940532-af59-4413-a61b-337c5f1cad72,9e5b2469-cdf9-41dc-bfca-9a1f5652de31,Market Basket,0,52fa69f3-c868-460a-8,cb7954c3-4f25-47ad-83e5-0cc468a0f704
MBCS,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,aa4062fb-ada5-45a1-a549-92ba61c994e0,Mass Bay Framingham Campus,1,c9b00d21-f3bd-4c9e-b,6db9ad31-bc72-4c05-8e2d-1750d9b7d8d9
6,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,30d4105b-cbe9-4096-8a6c-5b7dcf787426,Central Hub,0,26a9d4c2-e714-4af5-b,7fac9a3a-4896-47ef-a5a7-b6220f809af2
6,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,18c7e677-97be-471d-99ff-6e1888d49470,Central Hub,0,26a9d4c2-e714-4af5-b,7873e67f-97ec-4a6e-a398-1b17ebe07afd
GL,f7940532-af59-4413-a61b-337c5f1cad72,401b2d95-3e84-4403-83a3-addf15e0e0f2,Woodland,0,8a9f55f0-4175-48a1-9,32244de3-9fd2-4a6d-9298-3f65a391c061
07C,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,6fe9a7b7-504d-4b42-bc83-76e51d0a4817,Main St Marlborough,0,362bbd84-fab9-4467-b,1a530520-83f4-4a7e-850b-5296d1b72aff
04N,f7940532-af59-4413-a61b-337c5f1cad72,bba0f95a-4e87-45d8-a041-3d2004a7b1a9,Blandin Ave,0,0eff6fad-1d97-4cca-b,5bc0696b-1bfe-4de5-998d-ebbcae45f2a7
MBCS,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,c9d5b17b-1040-453e-b130-d7e302bc1cc0,Mass Bay Wellesley Campus,0,c9b00d21-f3bd-4c9e-b,3082c696-a8ca-475e-929d-a6a5e1744f4f
3,f7940532-af59-4413-a61b-337c5f1cad72,30d027c2-e214-43af-994d-7b941ba7c1f7,Central hub,0,41d9a8c9-eafa-46ad-9,dd03bd27-6fae-4482-950d-30eb0a26dd79
6,b23f1625-79c4-44bb-8f9d-613f2bbbfdc2,066dff80-d8b0-4d8c-b236-75e6841c19fa,Central Hub,0,6c47c027-383e-4797-b,7873e67f-97ec-4a6e-a398-1b17ebe07afd
