Agency,Route_ID,route_short_name,route_long_name,Stop_ID,Stop_Name,route_type,Boards,Alights,FGS,Mode
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,2729862&B,Lisa Dr & Howard St,3,1.24,2.45,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,2729863&B,North Quincy St at St Nick Church,3,9.98,0,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,2729864&B,Hovendon Ave & Farnham St,3,0,0,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,2729865&B,Cary Hill Plaza,3,0,0,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,2740154&B,Jehovah's Witness Hall,3,0,0,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799180&B,BAT Center,3,85.98,117.52,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799236&B,Linden St and North Montello St,3,2.16,0.05,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799237&B,North Montello St and Court St,3,0.51,12.42,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799574&B,Court St and Hunt St,3,0,0,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799575&B,Court St and Manchester St,3,17.95,5.29,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799576&B,Court St and Tyler St,3,9.53,72.07,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799577&B,Court St and Albert Ave,3,0,0,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799578&B,Court St and Rufus St,3,0.06,0,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799579&B,Court St and Cary St,3,3.84,0,None,BAT Bus
BATA,18785&B,10/11,Lisa & Howard via N Quincy & Court,799580&B,Court St and Rainville St,3,2.94,1.87,None,BAT Bus
