Agency,Stop_ID,Station_Name,WLK,KNR,PNR,XFR,ALL
MBTA,A6456&T,Alewife,2270,439,200,793,3701
MBTA,A6457&T,Davis,3917,214,0,478,4609
MBTA,A6459&T,Porter,3696,174,0,1456,5326
MBTA,A6461&T,Harvard,6062,183,0,1649,7895
MBTA,A6463&T,Central,6999,247,0,751,7996
MBTA,A6465&T,Kendall/MIT,7763,103,0,10,7876
MBTA,A6467&T,Charles/MGH,3663,118,0,0,3781
MBTA,A6469&T,Park Street,6379,20,0,11600,17999
MBTA,A6416&T,Downtown Crossing,9858,78,0,23406,33341
MBTA,A10023&T,Congress St opp Hano,0,0,0,0,0
MBTA,A10025&T,88 E Newton St,0,0,0,0,0
MBTA,A10026&T,Albany St @ Boston M,0,0,0,0,0
MBTA,A10082&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A10096&T,Lechmere,0,0,0,0,0
MBTA,A10164&T,O'Brien Hwy @ Winter,0,0,0,0,0
MBTA,A10165&T,225 Msgr O'Brien Hwy,0,0,0,0,0
MBTA,A10224&T,Tremont St @ W Sprin,0,0,0,0,0
MBTA,A10225&T,Tremont St @ W Newto,0,0,0,0,0
MBTA,A10226&T,Tremont St @ Waltham,0,0,0,0,0
MBTA,A10227&T,Tremont St @ Herald,0,0,0,0,0
MBTA,A10228&T,Tremont St @ Berkele,0,0,0,0,0
MBTA,A10229&T,Tremont St @ Dartmou,0,0,0,0,0
MBTA,A10230&T,Tremont St @ Rutland,0,0,0,0,0
MBTA,A10231&T,Tremont St @ W Sprin,0,0,0,0,0
MBTA,A10277&T,Cambridge St @ Fifth,0,0,0,0,0
MBTA,A10278&T,Cambridge St @ Fifth,0,0,0,0,0
MBTA,A10302&T,Seaport Blvd @ Seapo,0,0,0,0,0
MBTA,A10417&T,Haymarket,0,0,0,0,0
MBTA,A12020&T,Untitled Stop,0,0,0,0,0
MBTA,A12021&T,New Stop,0,0,0,0,0
MBTA,A12022&T,New Stop,0,0,0,0,0
MBTA,A12027&T,Untitled Stop,0,0,0,0,0
MBTA,A12028&T,Untitled Stop,0,0,0,0,0
MBTA,A12040&T,Untitled Stop,0,0,0,0,0
MBTA,A12041&T,Lechmere Station,0,0,0,0,0
MBTA,A12042&T,Untitled Stop,0,0,0,0,0
MBTA,A12043&T,Untitled Stop,0,0,0,0,0
MBTA,A12044&T,Untitled Stop,0,0,0,0,0
MBTA,A12045&T,Untitled Stop,0,0,0,0,0
MBTA,A12046&T,Lechmere (New),0,0,0,0,0
MBTA,A12047&T,Untitled Stop,0,0,0,0,0
MBTA,A12051&T,New Stop,0,0,0,0,0
MBTA,A12069&T,Lechmere New,0,0,0,0,0
MBTA,A12090&T,Untitled Stop,0,0,0,0,0
MBTA,A12130&T,Untitled Stop,0,0,0,0,0
MBTA,A12131&T,Untitled Stop,0,0,0,0,0
MBTA,A12132&T,Untitled Stop,0,0,0,0,0
MBTA,A12133&T,Untitled Stop,0,0,0,0,0
MBTA,A12134&T,Untitled Stop,0,0,0,0,0
MBTA,A12135&T,Untitled Stop,0,0,0,0,0
MBTA,A12136&T,Untitled Stop,0,0,0,0,0
MBTA,A12140&T,Untitled Stop,0,0,0,0,0
MBTA,A12141&T,Untitled Stop,0,0,0,0,0
MBTA,A12142&T,Untitled Stop,0,0,0,0,0
MBTA,A12181&T,Chauncy St @ Summer,0,0,0,0,0
MBTA,A12182&T,John F. Fitzgerald R,0,0,0,0,0
MBTA,A12183&T,Chauncy St @ Summer,0,0,0,0,0
MBTA,A7240&T,North Station,0,0,0,0,0
MBTA,A10060&T,College Ave opp Fred,0,0,0,0,0
MBTA,A10064&T,College Ave @ Freder,0,0,0,0,0
MBTA,A10097&T,Main St @ Dorrance S,0,0,0,0,0
MBTA,A10160&T,158 Main St,0,0,0,0,0
MBTA,A10161&T,Main St @ Parlin St,0,0,0,0,0
MBTA,A10162&T,Main St @ Forest Ave,0,0,0,0,0
MBTA,A10184&T,137 Chelsea St opp M,0,0,0,0,0
MBTA,A10252&T,1236 Eastern Ave,0,0,0,0,0
MBTA,A10253&T,Broadway @ Waverly A,0,0,0,0,0
MBTA,A10254&T,Broadway @ Pleasant,0,0,0,0,0
MBTA,A10255&T,Broadway @ Webster S,0,0,0,0,0
MBTA,A10256&T,Cambridge St @ Parke,0,0,0,0,0
MBTA,A10261&T,Broadway @ Summer St,0,0,0,0,0
MBTA,A10262&T,Broadway @ Ferry St,0,0,0,0,0
MBTA,A10286&T,205 Fellsway W,0,0,0,0,0
MBTA,A10287&T,Fellsway W @ Fulton,0,0,0,0,0
MBTA,A10296&T,High St @ Wolcott St,0,0,0,0,0
MBTA,A10299&T,Mystic Ave @ Union S,0,0,0,0,0
MBTA,A10300&T,High St @ Wolcott St,0,0,0,0,0
MBTA,A10323&T,Woodland Rd @ Molyne,0,0,0,0,0
MBTA,A10324&T,Highland Ave @ Doona,0,0,0,0,0
MBTA,A10325&T,Gateway Center on Ex,0,0,0,0,0
MBTA,A10328&T,Winthrop St @ Robins,0,0,0,0,0
MBTA,A10329&T,Riverside Ave @ Plea,0,0,0,0,0
MBTA,A10330&T,713 Winthrop St opp,0,0,0,0,0
MBTA,A10343&T,381 Ferry St opp Wal,0,0,0,0,0
MBTA,A10344&T,Ferry St @ Shute St,0,0,0,0,0
MBTA,A10345&T,Ferry St @ Coolidge,0,0,0,0,0
MBTA,A10427&T,Boston Ave @ Fairmou,0,0,0,0,0
MBTA,A10428&T,372 Boston Ave opp F,0,0,0,0,0
MBTA,A10434&T,19 Ferry St,0,0,0,0,0
MBTA,A10435&T,Ferry St @ Cherry St,0,0,0,0,0
MBTA,A10436&T,Elm St @ Glendale Pk,0,0,0,0,0
MBTA,A10437&T,Elm St @ Jefferson A,0,0,0,0,0
MBTA,A10438&T,Elm St @ Duncan Rd,0,0,0,0,0
MBTA,A10439&T,Elm St @ Jefferson A,0,0,0,0,0
MBTA,A10440&T,Elm St @ Ferry St,0,0,0,0,0
MBTA,A12024&T,College Ave,0,0,0,0,0
MBTA,A12049&T,Untitled Stop,0,0,0,0,0
MBTA,A12067&T,Untitled Stop,0,0,0,0,0
MBTA,A12068&T,Untitled Stop,0,0,0,0,0
MBTA,A12072&T,Untitled Stop,0,0,0,0,0
MBTA,A12073&T,Untitled Stop,0,0,0,0,0
MBTA,A12074&T,Untitled Stop,0,0,0,0,0
MBTA,A12151&T,Untitled Stop,0,0,0,0,0
MBTA,A12154&T,Untitled Stop,0,0,0,0,0
MBTA,A10059&T,Salem St @ Franklin,0,0,0,0,0
MBTA,A10100&T,Shirley St opp Winth,0,0,0,0,0
MBTA,A10101&T,Shirley St opp Winth,0,0,0,0,0
MBTA,A10102&T,Pauline St @ Hermon,0,0,0,0,0
MBTA,A10103&T,Hermon St @ Lincoln,0,0,0,0,0
MBTA,A10104&T,Main St @ Douglas St,0,0,0,0,0
MBTA,A10105&T,Main St @ Hermon St,0,0,0,0,0
MBTA,A10106&T,Hermon St @ Lincoln,0,0,0,0,0
MBTA,A10107&T,Hermon St @ Pauline,0,0,0,0,0
MBTA,A10108&T,Shirley St @ Winthro,0,0,0,0,0
MBTA,A10125&T,N Shore Rd @ Blancha,0,0,0,0,0
MBTA,A10126&T,N Shore Rd @ Agawam,0,0,0,0,0
MBTA,A10342&T,Central Ave @ Willow,0,0,0,0,0
MBTA,A10375&T,Jeffries St @ Webste,0,0,0,0,0
MBTA,A10376&T,Shirley St opp Wave,0,0,0,0,0
MBTA,A10416&T,Washington Ave @ Car,0,0,0,0,0
MBTA,A12048&T,Untitled Stop,0,0,0,0,0
MBTA,A12152&T,Untitled Stop,0,0,0,0,0
MBTA,A12153&T,Untitled Stop,0,0,0,0,0
MBTA,A12155&T,Untitled Stop,0,0,0,0,0
MBTA,A12156&T,Untitled Stop,0,0,0,0,0
MBTA,A12157&T,Untitled Stop,0,0,0,0,0
MBTA,A12164&T,Untitled Stop,0,0,0,0,0
MBTA,A12165&T,Untitled Stop,0,0,0,0,0
MBTA,A10061&T,College Ave @ Summit,0,0,0,0,0
MBTA,A10062&T,Somerville Ave at Mc,0,0,0,0,0
MBTA,A10063&T,College Ave @ Kidder,0,0,0,0,0
MBTA,A10094&T,Broadway St @ MacArt,0,0,0,0,0
MBTA,A10095&T,Broadway @ Franklin,0,0,0,0,0
MBTA,A10098&T,Broadway @ Michigan,0,0,0,0,0
MBTA,A10099&T,Broadway @ Kensingto,0,0,0,0,0
MBTA,A10141&T,Broadway @ Norfolk S,0,0,0,0,0
MBTA,A10163&T,Holland St @ Moore S,0,0,0,0,0
MBTA,A10166&T,Holland St @ Wallace,0,0,0,0,0
MBTA,A10215&T,Hampshire St @ Clark,0,0,0,0,0
MBTA,A10217&T,Hampshire St @ Webst,0,0,0,0,0
MBTA,A10218&T,Hampshire St @ Winds,0,0,0,0,0
MBTA,A10219&T,Webster Ave @ Columb,0,0,0,0,0
MBTA,A10220&T,Cross St @ Oliver St,0,0,0,0,0
MBTA,A10257&T,Washington St @ Fran,0,0,0,0,0
MBTA,A10258&T,Washington St @ Lela,0,0,0,0,0
MBTA,A10259&T,Kirkland St @ Trowbr,0,0,0,0,0
MBTA,A10260&T,Washington St @ Perr,0,0,0,0,0
MBTA,A10271&T,Garden St @ Concord,0,0,0,0,0
MBTA,A10272&T,Concord Ave @ Fawcet,0,0,0,0,0
MBTA,A10276&T,Cambridge St @ Winds,0,0,0,0,0
MBTA,A10279&T,Webster Ave @ Cambri,0,0,0,0,0
MBTA,A10280&T,Cambridge St opp Fay,0,0,0,0,0
MBTA,A10297&T,Mystic Ave @ Middles,0,0,0,0,0
MBTA,A10298&T,Mystic Ave opp Fells,0,0,0,0,0
MBTA,A10326&T,Beacon St @ Dickinso,0,0,0,0,0
MBTA,A10377&T,Huron Ave @ Park Ave,0,0,0,0,0
MBTA,A10420&T,JFK St @ Eliot St,0,0,0,0,0
MBTA,A10441&T,Broadway opp Trowbri,0,0,0,0,0
MBTA,A10467&T,North Cambridge Carh,0,0,0,0,0
MBTA,A12019&T,Harvard Busway,0,0,0,0,0
MBTA,A12025&T,Untitled Stop,0,0,0,0,0
MBTA,A12026&T,Untitled Stop,0,0,0,0,0
MBTA,A12029&T,Untitled Stop,0,0,0,0,0
MBTA,A12030&T,Untitled Stop,0,0,0,0,0
MBTA,A12031&T,Untitled Stop,0,0,0,0,0
MBTA,A12079&T,Untitled Stop,0,0,0,0,0
MBTA,A12080&T,Untitled Stop,0,0,0,0,0
MBTA,A12081&T,Untitled Stop,0,0,0,0,0
MBTA,A12082&T,Untitled Stop,0,0,0,0,0
MBTA,A12083&T,Untitled Stop,0,0,0,0,0
MBTA,A12084&T,Untitled Stop,0,0,0,0,0
MBTA,A12087&T,Untitled Stop,0,0,0,0,0
MBTA,A12088&T,Untitled Stop,0,0,0,0,0
MBTA,A12089&T,Untitled Stop,0,0,0,0,0
MBTA,A12091&T,Union Square,0,0,0,0,0
MBTA,A12092&T,Untitled Stop,0,0,0,0,0
MBTA,A12093&T,East Somerville,0,0,0,0,0
MBTA,A12108&T,Untitled Stop,0,0,0,0,0
MBTA,A12139&T,Untitled Stop,0,0,0,0,0
MBTA,A12166&T,Broadway @ Boston Av,0,0,0,0,0
MBTA,A12167&T,Broadway @ Pearson A,0,0,0,0,0
MBTA,A12168&T,Broadway @ Warner St,0,0,0,0,0
MBTA,A12169&T,Broadway opp Warner,0,0,0,0,0
MBTA,A12170&T,Broadway @ Bay State,0,0,0,0,0
MBTA,A12171&T,Broadway @ Josephine,0,0,0,0,0
MBTA,A10003&T,Neponset Circle @ Wa,0,0,0,0,0
MBTA,A10024&T,Southampton St @ Atk,0,0,0,0,0
MBTA,A10027&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A10028&T,Dorchester Ave @ Col,0,0,0,0,0
MBTA,A10076&T,Hallet St @ Hilltop,0,0,0,0,0
MBTA,A10077&T,W Broadway @ A St,0,0,0,0,0
MBTA,A10079&T,Columbia Rd opp Cush,0,0,0,0,0
MBTA,A10080&T,Bowdoin St @ Olney S,0,0,0,0,0
MBTA,A10119&T,Farragut Rd opp E Fi,0,0,0,0,0
MBTA,A10143&T,Adams St @ Gallivan,0,0,0,0,0
MBTA,A10144&T,Dorchester Avenue an,0,0,0,0,0
MBTA,A10145&T,Dorchester Avenue an,0,0,0,0,0
MBTA,A10146&T,Dorchester Ave and b,0,0,0,0,0
MBTA,A10147&T,Dorchester Avenue an,0,0,0,0,0
MBTA,A10148&T,Dorchester Avenue an,0,0,0,0,0
MBTA,A10149&T,Dorchester Avenue an,0,0,0,0,0
MBTA,A10150&T,Dorchester Avenue an,0,0,0,0,0
MBTA,A10155&T,Ashmont M.B.T.A.,0,0,0,0,0
MBTA,A10189&T,Dorchester Avenue an,0,0,0,0,0
MBTA,A10294&T,Dorchester Ave @ Col,0,0,0,0,0
MBTA,A10352&T,Geneva Ave @ Columbi,0,0,0,0,0
MBTA,A10381&T,Columbia Rd @ Blue H,0,0,0,0,0
MBTA,A10418&T,Gallivan Blvd @ Hall,0,0,0,0,0
MBTA,A10419&T,Neponset Circle @ Ne,0,0,0,0,0
MBTA,A10442&T,Dorchester Ave @ Cot,0,0,0,0,0
MBTA,A12004&T,Untitled Stop,0,0,0,0,0
MBTA,A12016&T,Untitled Stop,0,0,0,0,0
MBTA,A12017&T,Untitled Stop,0,0,0,0,0
MBTA,A12128&T,Untitled Stop,0,0,0,0,0
MBTA,A12129&T,Untitled Stop,0,0,0,0,0
MBTA,A12137&T,Untitled Stop,0,0,0,0,0
MBTA,A7301&T,Newmarket,0,0,0,0,0
MBTA,A10029&T,Columbus Ave @ Ritch,0,0,0,0,0
MBTA,A10030&T,Columbus Ave @ Amory,0,0,0,0,0
MBTA,A10031&T,Columbus Ave @ Washi,0,0,0,0,0
MBTA,A10065&T,Warren St opp Kearsa,0,0,0,0,0
MBTA,A10078&T,381 Dudley St opp Ha,0,0,0,0,0
MBTA,A10081&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A10085&T,S Huntington Ave @ H,0,0,0,0,0
MBTA,A10157&T,Centre St @ Linwood,0,0,0,0,0
MBTA,A10158&T,42 Dudley St,0,0,0,0,0
MBTA,A10159&T,Centre St @ S Huntin,0,0,0,0,0
MBTA,A10221&T,Tremont St @ Ruggles,0,0,0,0,0
MBTA,A10346&T,opp 150 American Leg,0,0,0,0,0
MBTA,A10139&T,N Beacon St @ Saunde,0,0,0,0,0
MBTA,A10142&T,N Beacon St opp Saun,0,0,0,0,0
MBTA,A10180&T,Commonwealth Ave @ S,0,0,0,0,0
MBTA,A10195&T,Huntington Ave @ Eva,0,0,0,0,0
MBTA,A10216&T,Park Dr @ Mountfort,0,0,0,0,0
MBTA,A10222&T,Chestnut Hill Ave @,0,0,0,0,0
