Agency,Stop_ID,Station_Name,WLK,KNR,PNR,XFR,ALL
MBTA,A6456&T,Alewife,2881,464,170,846,4361
MBTA,A6457&T,Davis,4169,200,0,693,5062
MBTA,A6459&T,Porter,3768,155,0,2982,6906
MBTA,A6461&T,Harvard,6600,199,0,2263,9062
MBTA,A6463&T,Central,8145,274,0,891,9309
MBTA,A6465&T,Kendall/MIT,10826,129,0,31,10986
MBTA,A6467&T,Charles/MGH,4628,147,0,0,4775
MBTA,A6469&T,Park Street,7356,26,0,14723,22105
MBTA,A6416&T,Downtown Crossing,12812,94,0,26661,39568
MBTA,A10023&T,Congress St opp Hano,363,1,0,30,393
MBTA,A10025&T,88 E Newton St,104,0,0,16,120
MBTA,A10026&T,Albany St @ Boston M,4,0,0,0,4
MBTA,A10082&T,Massachusetts Ave @,221,0,0,0,221
MBTA,A10096&T,Lechmere,242,0,0,17,260
MBTA,A10164&T,O'Brien Hwy @ Winter,138,0,0,0,138
MBTA,A10165&T,225 Msgr O'Brien Hwy,45,0,0,0,45
MBTA,A10224&T,Tremont St @ W Sprin,26,0,0,12,39
MBTA,A10225&T,Tremont St @ W Newto,8,0,0,0,8
MBTA,A10226&T,Tremont St @ Waltham,85,0,0,0,85
MBTA,A10227&T,Tremont St @ Herald,35,0,0,1,35
MBTA,A10228&T,Tremont St @ Berkele,0,0,0,0,1
MBTA,A10229&T,Tremont St @ Dartmou,7,0,0,1,8
MBTA,A10230&T,Tremont St @ Rutland,0,0,0,0,0
MBTA,A10231&T,Tremont St @ W Sprin,0,0,0,0,0
MBTA,A10277&T,Cambridge St @ Fifth,4,0,0,0,4
MBTA,A10278&T,Cambridge St @ Fifth,38,0,0,0,38
MBTA,A10302&T,Seaport Blvd @ Seapo,64,0,0,0,64
MBTA,A10417&T,Haymarket,214,0,0,1869,2083
MBTA,A12020&T,Untitled Stop,406,0,0,13,418
MBTA,A12021&T,New Stop,79,0,0,0,79
MBTA,A12022&T,New Stop,105,1,0,89,196
MBTA,A12027&T,Untitled Stop,193,0,0,1,193
MBTA,A12028&T,Untitled Stop,36,0,0,0,36
MBTA,A12040&T,Untitled Stop,1068,1,0,6,1075
MBTA,A12041&T,Lechmere Station,207,1,0,48,256
MBTA,A12042&T,Untitled Stop,479,1,0,0,480
MBTA,A12043&T,Untitled Stop,230,0,0,0,230
MBTA,A12044&T,Untitled Stop,165,0,0,0,166
MBTA,A12045&T,Untitled Stop,203,0,0,0,204
